"",BBK01.OEBL07T,BBK01.OEBL07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:55,
2002-01,1.284,
2002-04,1.059,
2002-07,1.077,
2002-10,1.119,
2003-01,1.131,
2003-04,1.096,
2003-07,1.103,
2003-10,1.106,
2004-01,1.078,
2004-04,1.060,
2004-07,1.065,
2004-10,1.072,
2005-01,1.840,
2005-04,1.824,
2005-07,1.778,
2005-10,1.796,
2006-01,1.786,
2006-04,1.755,
2006-07,1.713,
2006-10,1.737,
2007-01,1.826,
2007-04,1.837,
2007-07,1.836,
2007-10,1.917,
2008-01,1.934,
2008-04,1.959,
2008-07,1.951,
2008-10,2.074,
2009-01,2.071,
2009-04,2.051,
2009-07,2.073,
2009-10,2.049,
2010-01,1.994,
2010-04,1.960,
2010-07,1.967,
2010-10,2.059,
2011-01,2.112,
2011-04,2.106,
2011-07,2.095,
2011-10,2.101,
2012-01,2.184,
2012-04,2.158,
2012-07,2.148,
2012-10,2.145,
2013-01,2.065,
2013-04,2.014,
2013-07,1.990,
2013-10,1.979,
2014-01,1.948,
2014-04,1.919,
2014-07,1.994,
