"",BBK01.OEAC48Q,BBK01.OEAC48Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:45,
2002-01,2.502,
2002-04,2.604,
2002-07,2.632,
2002-10,2.830,
2003-01,2.885,
2003-04,2.978,
2003-07,3.044,
2003-10,3.221,
2004-01,3.275,
2004-04,3.024,
2004-07,3.030,
2004-10,3.072,
2005-01,3.032,
2005-04,3.007,
2005-07,2.950,
2005-10,2.926,
2006-01,2.827,
2006-04,2.920,
2006-07,2.857,
2006-10,2.881,
2007-01,3.761,
2007-04,3.877,
2007-07,3.967,
2007-10,3.967,
2008-01,2.791,
2008-04,2.836,
2008-07,2.800,
2008-10,2.845,
2009-01,3.029,
2009-04,3.058,
2009-07,3.118,
2009-10,3.710,
2010-01,3.632,
2010-04,3.761,
2010-07,3.703,
2010-10,3.814,
2011-01,3.752,
2011-04,3.806,
2011-07,3.655,
2011-10,3.883,
2012-01,3.889,
2012-04,4.066,
2012-07,4.140,
2012-10,4.281,
2013-01,4.182,
2013-04,4.081,
2013-07,4.096,
2013-10,4.456,
2014-01,4.547,
2014-04,4.662,
2014-07,4.864,
