"",BBK01.OECM02T,BBK01.OECM02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:33,
2002-01,0.081,
2002-04,0.078,
2002-07,0.076,
2002-10,0.092,
2003-01,0.090,
2003-04,0.079,
2003-07,0.083,
2003-10,0.110,
2004-01,0.086,
2004-04,0.116,
2004-07,0.112,
2004-10,0.136,
2005-01,0.287,
2005-04,0.270,
2005-07,0.306,
2005-10,0.261,
2006-01,0.249,
2006-04,0.232,
2006-07,0.178,
2006-10,0.219,
2007-01,0.170,
2007-04,0.212,
2007-07,0.251,
2007-10,0.216,
2008-01,0.240,
2008-04,0.214,
2008-07,0.198,
2008-10,0.311,
2009-01,0.232,
2009-04,0.191,
2009-07,0.226,
2009-10,0.172,
2010-01,0.121,
2010-04,0.229,
2010-07,0.187,
2010-10,0.339,
2011-01,0.226,
2011-04,0.219,
2011-07,0.406,
2011-10,0.413,
2012-01,0.126,
2012-04,0.098,
2012-07,0.156,
2012-10,0.170,
2013-01,0.098,
2013-04,0.119,
2013-07,0.081,
2013-10,0.063,
2014-01,0.053,
2014-04,0.056,
2014-07,0.146,
