"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.EUR.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:16,
1971-12,1.306,
1972-01,1.350,
1972-02,1.403,
1972-03,1.382,
1972-04,1.407,
1972-05,1.460,
1972-06,1.427,
1972-07,1.375,
1972-08,1.378,
1972-09,1.395,
1972-10,1.380,
1972-11,1.415,
1972-12,1.442,
1973-01,1.468,
1973-02,1.434,
1973-03,1.439,
1973-04,1.453,
1973-05,1.476,
1973-06,1.478,
1973-07,1.480,
1973-08,1.503,
1973-09,1.497,
1973-10,1.589,
1973-11,1.596,
1973-12,1.556,
1974-01,1.606,
1974-02,1.622,
1974-03,1.651,
1974-04,1.695,
1974-05,1.712,
1974-06,1.735,
1974-07,1.756,
1974-08,1.752,
1974-09,1.786,
1974-10,1.910,
1974-11,1.923,
1974-12,1.882,
1975-01,2.025,
1975-02,2.019,
1975-03,2.107,
1975-04,2.100,
1975-05,2.089,
1975-06,2.101,
1975-07,2.099,
1975-08,2.080,
1975-09,2.114,
1975-10,2.033,
1975-11,1.996,
1975-12,2.144,
1976-01,2.145,
1976-02,2.013,
1976-03,1.985,
1976-04,1.976,
1976-05,2.004,
1976-06,2.021,
1976-07,2.059,
1976-08,2.090,
1976-09,2.144,
1976-10,2.141,
1976-11,2.104,
1976-12,2.076,
1977-01,2.131,
1977-02,2.042,
1977-03,2.067,
1977-04,2.065,
1977-05,2.113,
1977-06,2.210,
1977-07,2.206,
1977-08,2.302,
1977-09,2.276,
1977-10,2.318,
1977-11,2.306,
1977-12,2.307,
1978-01,2.288,
1978-02,2.265,
1978-03,2.204,
1978-04,2.200,
1978-05,2.183,
1978-06,2.213,
1978-07,2.230,
1978-08,2.288,
1978-09,2.257,
1978-10,2.275,
1978-11,2.295,
1978-12,2.256,
1979-01,2.286,
1979-02,2.296,
1979-03,2.300,
1979-04,2.281,
1979-05,2.281,
1979-06,2.379,
1979-07,2.254,
1979-08,2.208,
1979-09,2.286,
1979-10,2.114,
1979-11,2.175,
1979-12,2.231,
1980-01,2.188,
1980-02,2.194,
1980-03,2.104,
1980-04,2.100,
1980-05,2.156,
1980-06,2.161,
1980-07,2.252,
1980-08,2.249,
1980-09,2.281,
1980-10,2.574,
1980-11,2.710,
1980-12,3.122,
1981-01,3.279,
1981-02,3.081,
1981-03,3.146,
1981-04,3.311,
1981-05,3.350,
1981-06,3.440,
1981-07,3.494,
1981-08,3.708,
1981-09,3.738,
1981-10,4.125,
1981-11,4.062,
1981-12,4.365,
1982-01,4.289,
1982-02,4.294,
1982-03,4.377,
1982-04,4.523,
1982-05,4.552,
1982-06,4.638,
1982-07,4.651,
1982-08,4.823,
1982-09,4.828,
1982-10,4.744,
1982-11,4.966,
1982-12,5.316,
1983-01,5.252,
1983-02,5.191,
1983-03,5.140,
1983-04,5.104,
1983-05,5.292,
1983-06,5.448,
1983-07,5.353,
1983-08,5.385,
1983-09,5.410,
1983-10,5.197,
1983-11,5.249,
1983-12,5.265,
1984-01,5.063,
1984-02,5.270,
1984-03,5.442,
1984-04,5.335,
1984-05,5.285,
1984-06,5.279,
1984-07,5.457,
1984-08,5.466,
1984-09,5.460,
1984-10,5.636,
1984-11,5.685,
1984-12,5.593,
1985-01,5.526,
1985-02,5.645,
1985-03,5.589,
1985-04,5.522,
1985-05,5.296,
1985-06,5.220,
1985-07,5.258,
1985-08,5.218,
1985-09,5.250,
1985-10,5.277,
1985-11,5.247,
1985-12,4.884,
1986-01,5.100,
1986-02,5.085,
1986-03,5.120,
1986-04,5.279,
1986-05,5.296,
1986-06,5.366,
1986-07,5.279,
1986-08,5.330,
1986-09,5.010,
1986-10,4.924,
1986-11,4.863,
1986-12,4.670,
1987-01,4.823,
1987-02,4.880,
1987-03,4.865,
1987-04,4.883,
1987-05,4.841,
1987-06,4.860,
1987-07,4.848,
1987-08,4.764,
1987-09,4.737,
1987-10,4.545,
1987-11,4.517,
1987-12,4.585,
1988-01,4.685,
1988-02,4.670,
1988-03,4.798,
1988-04,4.826,
1988-05,4.825,
1988-06,4.946,
1988-07,4.900,
1988-08,4.954,
1988-09,5.214,
1988-10,5.110,
1988-11,5.075,
1988-12,5.114,
1989-01,5.152,
1989-02,5.164,
1989-03,5.259,
1989-04,5.643,
1989-05,5.603,
1989-06,5.618,
1989-07,5.698,
1989-08,5.812,
1989-09,5.524,
1989-10,5.536,
1989-11,5.772,
1989-12,5.687,
1990-01,6.558,
1990-02,6.473,
1990-03,6.743,
1990-04,6.858,
1990-05,6.934,
1990-06,7.575,
1990-07,7.912,
1990-08,7.684,
1990-09,7.503,
1990-10,7.398,
1990-11,7.522,
1990-12,7.400,
1991-01,7.430,
1991-02,7.823,
1991-03,7.733,
1991-04,7.899,
1991-05,7.619,
1991-06,7.564,
1991-07,7.860,
1991-08,7.505,
1991-09,7.450,
1991-10,7.362,
1991-11,7.711,
1991-12,7.602,
1992-01,7.593,
1992-02,7.581,
1992-03,7.632,
1992-04,7.894,
1992-05,7.660,
1992-06,7.571,
1992-07,7.620,
1992-08,7.704,
1992-09,7.917,
1992-10,8.069,
1992-11,8.493,
1992-12,8.616,
1993-01,8.767,
1993-02,9.147,
1993-03,9.295,
1993-04,9.433,
1993-05,9.880,
1993-06,9.807,
