"",BBDA1.M.DE.N.EX.S.A.DK.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.DK.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Denmark / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:22,
1990-07,454539,
1990-08,514786,
1990-09,502824,
1990-10,582078,
1990-11,563154,
1990-12,471921,
1991-01,549253,
1991-02,507186,
1991-03,526530,
1991-04,521175,
1991-05,534500,
1991-06,510288,
1991-07,497883,
1991-08,558992,
1991-09,514784,
1991-10,581612,
1991-11,552986,
1991-12,487828,
1992-01,529674,
1992-02,505673,
1992-03,602302,
1992-04,567609,
1992-05,509791,
1992-06,481593,
1992-07,559499,
1992-08,553983,
1992-09,584151,
1992-10,624700,
1992-11,547908,
1992-12,568115,
1993-01,457137,
1993-02,489349,
1993-03,509639,
1993-04,468946,
1993-05,443430,
1993-06,507038,
1993-07,444246,
1993-08,460134,
1993-09,519365,
1993-10,486085,
1993-11,491936,
1993-12,501473,
1994-01,474203,
1994-02,515801,
1994-03,575157,
1994-04,544246,
1994-05,549863,
1994-06,574962,
1994-07,518374,
1994-08,560655,
1994-09,607332,
1994-10,566104,
1994-11,538393,
1994-12,579115,
1995-01,586976,
1995-02,604100,
1995-03,659904,
1995-04,568035,
1995-05,625777,
1995-06,640728,
1995-07,507617,
1995-08,588685,
1995-09,741202,
1995-10,613915,
1995-11,620978,
1995-12,585761,
1996-01,628083,
1996-02,584914,
1996-03,652139,
1996-04,647037,
1996-05,601844,
1996-06,591348,
1996-07,563408,
1996-08,578535,
1996-09,619248,
1996-10,688602,
1996-11,633722,
1996-12,616836,
1997-01,636309,
1997-02,653918,
1997-03,690024,
1997-04,664296,
1997-05,662024,
1997-06,708297,
1997-07,630021,
1997-08,657707,
1997-09,692732,
1997-10,722609,
1997-11,707315,
1997-12,767197,
1998-01,688256,
1998-02,696195,
1998-03,708942,
1998-04,769764,
1998-05,628939,
1998-06,727723,
1998-07,704240,
1998-08,645949,
1998-09,696183,
1998-10,843890,
1998-11,720929,
1998-12,637673,
1999-01,694132,
1999-02,716057,
1999-03,721095,
