"",BBK01.OEAA53L,BBK01.OEAA53L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:36,
2002-01,59.488,
2002-04,57.618,
2002-07,58.261,
2002-10,57.220,
2003-01,63.052,
2003-04,61.720,
2003-07,62.188,
2003-10,65.966,
2004-01,66.838,
2004-04,67.471,
2004-07,66.465,
2004-10,65.194,
2005-01,68.748,
2005-04,75.346,
2005-07,78.421,
2005-10,78.723,
2006-01,80.010,
2006-04,78.520,
2006-07,76.772,
2006-10,76.121,
2007-01,74.205,
2007-04,80.258,
2007-07,84.162,
2007-10,87.863,
2008-01,99.153,
2008-04,92.706,
2008-07,104.365,
2008-10,104.922,
2009-01,100.871,
2009-04,98.631,
2009-07,83.538,
2009-10,81.462,
2010-01,84.147,
2010-04,86.630,
2010-07,86.013,
2010-10,85.349,
2011-01,83.588,
2011-04,82.529,
2011-07,83.912,
2011-10,83.773,
2012-01,81.507,
2012-04,82.838,
2012-07,82.175,
2012-10,81.601,
2013-01,81.784,
2013-04,80.434,
2013-07,80.344,
2013-10,81.290,
2014-01,82.123,
2014-04,81.978,
2014-07,86.836,
