"",BBK01.OEAH19O,BBK01.OEAH19O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:54,
2002-01,3.076,
2002-04,3.339,
2002-07,3.340,
2002-10,3.599,
2003-01,3.884,
2003-04,4.081,
2003-07,4.832,
2003-10,5.229,
2004-01,6.257,
2004-04,6.699,
2004-07,7.011,
2004-10,8.069,
2005-01,19.449,
2005-04,19.460,
2005-07,19.734,
2005-10,20.261,
2006-01,20.666,
2006-04,20.656,
2006-07,21.219,
2006-10,21.566,
2007-01,21.665,
2007-04,22.084,
2007-07,22.237,
2007-10,22.887,
2008-01,23.468,
2008-04,23.418,
2008-07,19.211,
2008-10,20.205,
2009-01,21.050,
2009-04,21.066,
2009-07,21.231,
2009-10,22.425,
2010-01,22.250,
2010-04,22.129,
2010-07,21.992,
2010-10,21.757,
2011-01,21.449,
2011-04,21.080,
2011-07,21.015,
2011-10,20.859,
2012-01,20.751,
2012-04,20.887,
2012-07,20.952,
2012-10,21.143,
2013-01,20.669,
2013-04,19.788,
2013-07,19.307,
2013-10,19.337,
2014-01,19.166,
2014-04,19.222,
2014-07,18.939,
