"",BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:45,
1991-01,1947.195,
1991-04,3780.534,
1991-07,3271.748,
1991-10,2992.672,
1992-01,6673.631,
1992-04,7973.662,
1992-07,5075.499,
1992-10,14828.234,
1993-01,18076.936,
1993-04,8510.581,
1993-07,3146.397,
1993-10,-15343.452,
1994-01,4818.462,
1994-04,1515.556,
1994-07,6445.489,
1994-10,6158.764,
1995-01,-1161.328,
1995-04,3448.893,
1995-07,-44.442,
1995-10,3888.910,
1996-01,4249.413,
1996-04,423.299,
1996-07,-727.638,
1996-10,4450.183,
1997-01,5979.432,
1997-04,17932.140,
1997-07,12385.547,
1997-10,7518.369,
1998-01,20639.883,
1998-04,15993.349,
1998-07,15948.593,
1998-10,27300.085,
1999-01,44182.756,
1999-04,20614.005,
1999-07,30674.992,
1999-10,31005.806,
2000-01,40173.021,
2000-04,19678.158,
2000-07,37702.871,
2000-10,16842.014,
2001-01,39018.180,
2001-04,19834.562,
2001-07,13017.092,
2001-10,12626.899,
2002-01,27816.151,
2002-04,8622.577,
2002-07,8071.327,
2002-10,5982.786,
2003-01,7152.289,
2003-04,8846.322,
2003-07,9409.447,
2003-10,9251.746,
2004-01,23342.642,
2004-04,20502.349,
2004-07,14132.588,
2004-10,9977.592,
2005-01,52899.508,
2005-04,40574.354,
2005-07,10665.468,
2005-10,40207.371,
2006-01,41149.279,
2006-04,17843.197,
2006-07,9155.993,
2006-10,29775.997,
2007-01,40796.804,
2007-04,30997.707,
2007-07,-10095.582,
2007-10,495.411,
2008-01,33172.341,
2008-04,17758.030,
2008-07,-12267.370,
2008-10,-39490.865,
2009-01,16859.509,
2009-04,19532.344,
2009-07,23087.991,
2009-10,9459.621,
2010-01,24424.595,
2010-04,-1425.458,
2010-07,13392.118,
2010-10,57666.299,
2011-01,16025.897,
2011-04,4200.372,
2011-07,-8876.605,
2011-10,5828.529,
2012-01,14480.431,
2012-04,-2700.275,
2012-07,20025.587,
2012-10,29196.037,
2013-01,34077.440,
2013-04,23168.203,
2013-07,10906.985,
2013-10,10181.848,
2014-01,33449.853,Provisional value
2014-04,22992.951,Provisional value
2014-07,12331.900,Provisional value
2014-10,16862.667,Provisional value
