"",BBK01.OEAH91I,BBK01.OEAH91I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:52,
2002-01,1.134,
2002-04,1.354,
2002-07,1.351,
2002-10,1.351,
2003-01,1.312,
2003-04,1.357,
2003-07,1.359,
2003-10,1.502,
2004-01,1.536,
2004-04,1.511,
2004-07,1.514,
2004-10,1.528,
2005-01,1.554,
2005-04,1.432,
2005-07,1.455,
2005-10,1.504,
2006-01,1.532,
2006-04,1.591,
2006-07,1.574,
2006-10,1.581,
2007-01,1.535,
2007-04,1.535,
2007-07,1.582,
2007-10,1.603,
2008-01,1.592,
2008-04,1.548,
2008-07,1.512,
2008-10,1.518,
2009-01,1.555,
2009-04,0.404,
2009-07,0.393,
2009-10,0.361,
2010-01,0.336,
2010-04,0.270,
2010-07,0.267,
2010-10,0.248,
2011-01,0.247,
2011-04,0.245,
2011-07,0.253,
2011-10,0.243,
2012-01,0.244,
2012-04,0.265,
2012-07,0.267,
2012-10,0.265,
2013-01,0.259,
2013-04,0.258,
2013-07,0.263,
2013-10,0.292,
2014-01,0.263,
2014-04,0.266,
2014-07,0.271,
