"",BBK01.OEHL07N,BBK01.OEHL07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:10,
2002-01,73.192,
2002-04,72.684,
2002-07,72.437,
2002-10,73.688,
2003-01,73.706,
2003-04,73.080,
2003-07,72.393,
2003-10,73.019,
2004-01,72.694,
2004-04,72.356,
2004-07,71.726,
2004-10,72.370,
2005-01,72.306,
2005-04,71.941,
2005-07,71.837,
2005-10,72.539,
2006-01,73.169,
2006-04,72.752,
2006-07,71.873,
2006-10,71.638,
2007-01,69.909,
2007-04,68.027,
2007-07,66.539,
2007-10,66.216,
2008-01,65.221,
2008-04,63.976,
2008-07,62.541,
2008-10,63.515,
2009-01,64.835,
2009-04,65.959,
2009-07,67.242,
2009-10,69.225,
2010-01,70.675,
2010-04,71.123,
2010-07,71.264,
2010-10,72.058,
2011-01,72.167,
2011-04,71.818,
2011-07,71.217,
2011-10,71.236,
2012-01,70.838,
2012-04,70.609,
2012-07,70.494,
2012-10,71.051,
2013-01,71.341,
2013-04,71.413,
2013-07,71.172,
2013-10,71.563,
2014-01,71.591,
2014-04,71.232,
2014-07,70.988,
