"",BBK01.OEXB07L,BBK01.OEXB07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:36,
2002-01,4.658,
2002-04,4.765,
2002-07,4.997,
2002-10,5.255,
2003-01,6.436,
2003-04,6.770,
2003-07,7.141,
2003-10,7.716,
2004-01,8.577,
2004-04,9.068,
2004-07,9.292,
2004-10,8.736,
2005-01,8.791,
2005-04,8.734,
2005-07,9.981,
2005-10,12.182,
2006-01,11.856,
2006-04,12.543,
2006-07,12.993,
2006-10,12.446,
2007-01,13.025,
2007-04,13.808,
2007-07,13.549,
2007-10,14.133,
2008-01,15.328,
2008-04,14.735,
2008-07,16.276,
2008-10,16.329,
2009-01,19.280,
2009-04,18.217,
2009-07,17.850,
2009-10,19.569,
2010-01,18.350,
2010-04,18.809,
2010-07,18.557,
2010-10,18.711,
2011-01,18.774,
2011-04,17.408,
2011-07,17.789,
2011-10,17.757,
2012-01,17.686,
2012-04,17.978,
2012-07,17.777,
2012-10,17.053,
2013-01,16.612,
2013-04,16.229,
2013-07,15.909,
2013-10,15.791,
2014-01,15.678,
2014-04,15.439,
2014-07,15.824,
