"",BBSF2.M.1.T.00000.DAC01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.DAC01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:15,
2009-09,1196,
2009-10,924,
2009-11,822,
2009-12,971,
2010-01,1093,
2010-02,1163,
2010-03,1071,
2010-04,1245,
2010-05,1180,
2010-06,1205,
2010-07,1232,
2010-08,1420,
2010-09,1181,
2010-10,1098,
2010-11,1076,
2010-12,1032,
2011-01,1471,
2011-02,1069,
2011-03,1264,
2011-04,1067,
2011-05,1102,
2011-06,1076,
2011-07,1166,
2011-08,1538,
2011-09,1874,
2011-10,1335,
2011-11,1551,
2011-12,1459,
2012-01,1141,
2012-02,1408,
2012-03,1544,
2012-04,1324,
2012-05,1210,
2012-06,1066,
2012-07,985,
2012-08,1145,
2012-09,1238,
2012-10,1224,
2012-11,1561,
2012-12,1178,
2013-01,1382,
2013-02,1175,
2013-03,1076,
2013-04,913,
2013-05,1003,
2013-06,1632,
2013-07,1143,
2013-08,1193,
2013-09,1073,
2013-10,895,
2013-11,999,
2013-12,1349,
2014-01,1532,
2014-02,1208,
2014-03,1295,
2014-04,1203,
2014-05,1106,
2014-06,1312,
2014-07,1407,
2014-08,1535,
2014-09,1401,
2014-10,1339,
2014-11,1083,
