"",BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:35,
1991-01,2020.872,
1991-04,4537.335,
1991-07,3144.592,
1991-10,2358.186,
1992-01,6202.345,
1992-04,9407.903,
1992-07,5357.395,
1992-10,15542.206,
1993-01,18258.248,
1993-04,9013.770,
1993-07,2881.762,
1993-10,-14392.409,
1994-01,5584.178,
1994-04,2816.523,
1994-07,6848.771,
1994-10,7982.441,
1995-01,-1762.651,
1995-04,3984.230,
1995-07,566.173,
1995-10,5630.773,
1996-01,6031.862,
1996-04,801.621,
1996-07,79.005,
1996-10,6133.272,
1997-01,10337.322,
1997-04,18213.889,
1997-07,15093.603,
1997-10,9208.794,
1998-01,28023.241,
1998-04,22688.481,
1998-07,16846.496,
1998-10,32269.005,
1999-01,50039.275,
1999-04,28353.930,
1999-07,33898.299,
1999-10,33420.194,
2000-01,69475.903,
2000-04,24170.318,
2000-07,45397.890,
2000-10,23025.988,
2001-01,44524.518,
2001-04,29962.481,
2001-07,15013.085,
2001-10,16002.470,
2002-01,32095.259,
2002-04,10410.246,
2002-07,10015.227,
2002-10,4613.469,
2003-01,7935.283,
2003-04,13802.794,
2003-07,7876.688,
2003-10,9311.073,
2004-01,26487.682,
2004-04,25440.090,
2004-07,17598.608,
2004-10,12518.651,
2005-01,60084.842,
2005-04,49813.837,
2005-07,16401.046,
2005-10,41770.439,
2006-01,51177.499,
2006-04,21697.860,
2006-07,12567.469,
2006-10,39604.472,
2007-01,49702.910,
2007-04,41371.377,
2007-07,-5247.893,
2007-10,1476.913,
2008-01,33751.962,
2008-04,30770.929,
2008-07,-12968.274,
2008-10,-48669.676,
2009-01,16703.759,
2009-04,25428.481,
2009-07,29017.055,
2009-10,13523.003,
2010-01,30307.028,
2010-04,2103.477,
2010-07,16525.612,
2010-10,75512.307,
2011-01,23215.501,
2011-04,10359.169,
2011-07,-9699.024,
2011-10,4318.798,
2012-01,33726.974,
2012-04,-964.119,
2012-07,25125.246,
2012-10,32817.324,
2013-01,36596.181,
2013-04,27291.674,
2013-07,13815.912,
2013-10,12125.156,
2014-01,30335.261,Provisional value
2014-04,29745.834,Provisional value
2014-07,17947.847,Provisional value
2014-10,19356.395,Provisional value
