"",BBDA1.M.DE.N.IM.S.A.CZ.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.CZ.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Czech Republic / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:27,
1993-01,171559,
1993-02,253950,
1993-03,256231,
1993-04,308284,
1993-05,261161,
1993-06,267805,
1993-07,267888,
1993-08,246651,
1993-09,281396,
1993-10,309739,
1993-11,333525,
1993-12,332363,
1994-01,251784,
1994-02,306854,
1994-03,387539,
1994-04,312907,
1994-05,370693,
1994-06,360800,
1994-07,340648,
1994-08,361308,
1994-09,381959,
1994-10,357082,
1994-11,433321,
1994-12,479434,
1995-01,354131,
1995-02,412825,
1995-03,512804,
1995-04,416454,
1995-05,460530,
1995-06,469692,
1995-07,448609,
1995-08,389038,
1995-09,489401,
1995-10,471136,
1995-11,517122,
1995-12,471564,
1996-01,394909,
1996-02,450143,
1996-03,479721,
1996-04,477735,
1996-05,491805,
1996-06,515646,
1996-07,503684,
1996-08,417488,
1996-09,517386,
1996-10,538369,
1996-11,551519,
1996-12,482395,
1997-01,481583,
1997-02,479705,
1997-03,539369,
1997-04,608390,
1997-05,533559,
1997-06,604107,
1997-07,668572,
1997-08,505080,
1997-09,636326,
1997-10,688396,
1997-11,687343,
1997-12,639082,
1998-01,601779,
1998-02,636633,
1998-03,814705,
1998-04,710978,
1998-05,696726,
1998-06,771112,
1998-07,784378,
1998-08,623771,
1998-09,784703,
1998-10,829400,
1998-11,757911,
1998-12,773140,
1999-01,611106,
1999-02,722401,
1999-03,867273,
1999-04,842746,
1999-05,801893,
1999-06,881723,
1999-07,820343,
1999-08,737530,
1999-09,911471,
1999-10,915714,
1999-11,1105743,
1999-12,939693,
2000-01,823680,
2000-02,932348,
2000-03,1101495,
2000-04,939362,
2000-05,1215190,
2000-06,1153329,
2000-07,1113469,
2000-08,992311,
2000-09,1068517,
2000-10,1156111,
2000-11,1193695,
2000-12,1187535,
2001-01,1070169,
2001-02,1101911,
2001-03,1268940,
2001-04,1125823,
2001-05,1103703,
2001-06,1343810,
2001-07,1145333,
2001-08,1222898,
2001-09,1202451,
2001-10,1337947,
2001-11,1453803,
2001-12,1172783,
2002-01,1125633,
2002-02,1306915,
2002-03,1381314,
2002-04,1401491,
2002-05,1358607,
2002-06,1359500,
2002-07,1411946,
2002-08,1193379,
2002-09,1405335,
2002-10,1544451,
2002-11,1511481,
2002-12,1239510,
2003-01,1409924,
2003-02,1357692,
2003-03,1533300,
2003-04,1491425,
2003-05,1453734,
2003-06,1468043,
2003-07,1451086,
2003-08,1165760,
2003-09,1492943,
2003-10,1650622,
2003-11,1631128,
2003-12,1431959,
2004-01,1410616,
2004-02,1468219,
2004-03,1763513,
2004-04,1779287,
2004-05,1148885,
2004-06,1260742,
2004-07,1171678,
2004-08,1108806,
2004-09,1305387,
2004-10,1381961,
2004-11,1463235,
2004-12,1231101,
2005-01,1412922,
2005-02,1339514,
2005-03,1433558,
2005-04,1498584,
2005-05,1570818,
2005-06,1513211,
2005-07,1309533,
2005-08,1415764,
2005-09,1568883,
2005-10,1549430,
2005-11,1565303,
2005-12,1502396,
2006-01,1653472,
2006-02,1598571,
2006-03,1893427,
2006-04,1757845,
2006-05,1834331,
2006-06,1889826,
2006-07,1763107,
2006-08,1694051,
2006-09,1884423,
2006-10,2061403,
2006-11,2008352,
2006-12,1824631,
2007-01,1961340,
2007-02,2030780,
2007-03,2292255,
2007-04,2173700,
2007-05,2248853,
2007-06,2132584,
2007-07,2006944,
2007-08,1986717,
2007-09,2284554,
2007-10,2426357,
2007-11,2325909,
2007-12,1999725,
2008-01,2186653,
2008-02,2257637,
2008-03,2329599,
2008-04,2486143,
2008-05,2315130,
2008-06,2457545,
2008-07,2306503,
2008-08,2157034,
2008-09,2484463,
2008-10,2553817,
2008-11,2199185,
2008-12,1814299,
2009-01,1713455,
2009-02,1799248,
2009-03,2206477,
2009-04,2022362,
2009-05,1838960,
2009-06,2083786,
2009-07,1859073,
2009-08,1889539,
2009-09,2264390,
2009-10,2303061,
2009-11,2144697,
2009-12,1880880,
2010-01,1910114,
2010-02,2113495,
2010-03,2486173,
2010-04,2285008,
2010-05,2378128,
2010-06,2461283,
2010-07,2266887,
2010-08,2315000,
2010-09,2644725,
2010-10,2786104,
2010-11,2720692,
2010-12,2333895,
2011-01,2400360,
2011-02,2585613,
2011-03,2964434,
2011-04,2648348,
2011-05,2822694,
2011-06,2907871,
2011-07,2538093,
2011-08,2564513,
2011-09,2928948,
2011-10,2880890,
2011-11,2892488,
2011-12,2549970,
2012-01,2573488,
2012-02,2722116,
2012-03,2995887,
2012-04,2654006,
2012-05,2804660,
2012-06,2794023,
2012-07,2651827,
2012-08,2512165,
2012-09,2736205,
2012-10,3042871,
2012-11,2818117,
2012-12,2187607,
2013-01,2472063,
2013-02,2566227,
2013-03,2775296,
2013-04,2842894,
2013-05,2697284,
2013-06,2739886,
2013-07,2646824,
2013-08,2598295,
2013-09,2991502,
2013-10,3183821,
2013-11,3046297,
2013-12,2449920,
2014-01,2769787,
2014-02,2988647,
2014-03,3200438,
2014-04,3143767,
2014-05,3030353,
2014-06,3085774,
2014-07,3225986,
2014-08,2651840,
2014-09,3366660,
2014-10,3420832,
2014-11,3217588,
2014-12,2777855,
