"",BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:35,
1991-01,-1.045,
1991-04,0.575,
1991-07,0.544,
1991-10,2.174,
1992-01,-0.075,
1992-04,-0.350,
1992-07,2.329,
1992-10,-0.941,
1993-01,-0.215,
1993-04,2.552,
1993-07,-3.611,
1993-10,2.965,
1994-01,-7.132,
1994-04,21.984,
1994-07,5.235,
1994-10,-37.100,
1995-01,-10.164,
1995-04,59.247,
1995-07,14.083,
1995-10,-1.525,
1996-01,-8.804,
1996-04,-34.281,
1996-07,43.658,
1996-10,-53.828,
1997-01,-15.143,
1997-04,-43.843,
1997-07,79.850,
1997-10,-20.959,
1998-01,-0.778,
1998-04,-14.979,
1998-07,121.451,
1998-10,-66.297,
1999-01,-10.090,
1999-04,29.765,
1999-07,49.239,
1999-10,-40.233,
2000-01,-61.277,
2000-04,-61.918,
2000-07,106.413,
2000-10,-20.231,
2001-01,96.248,
2001-04,-64.797,
2001-07,773.973,
2001-10,698.876,
2002-01,190.293,
2002-04,303.644,
2002-07,-10.486,
2002-10,51.743,
2003-01,-26.191,
2003-04,-41.157,
2003-07,-154.360,
2003-10,-104.994,
2004-01,-107.035,
2004-04,-187.697,
2004-07,-158.474,
2004-10,-115.688,
2005-01,-161.917,
2005-04,-133.177,
2005-07,-136.493,
2005-10,-73.093,
2006-01,-47.511,
2006-04,-26.889,
2006-07,-127.517,
2006-10,-75.412,
2007-01,22.078,
2007-04,-107.391,
2007-07,-50.935,
2007-10,-74.414,
2008-01,122.789,
2008-04,151.006,
2008-07,-274.770,
2008-10,-238.061,
2009-01,42.625,
2009-04,-230.016,
2009-07,-499.177,
2009-10,-423.522,
2010-01,-379.269,
2010-04,-300.778,
2010-07,-393.118,
2010-10,-346.025,
2011-01,-90.084,
2011-04,-347.900,
2011-07,-57.101,
2011-10,-164.715,
2012-01,45.394,
2012-04,-193.003,
2012-07,-157.531,
2012-10,-251.116,
2013-01,-78.763,
2013-04,49.366,
2013-07,-168.505,
2013-10,-299.615,
2014-01,-245.935,Provisional value
2014-04,-97.311,Provisional value
2014-07,-131.685,Provisional value
2014-10,-141.519,Provisional value
