"",BBK01.CEBE10,BBK01.CEBE10_FLAGS
"",short-term loans debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:18,
1991-01,295.3,
1991-04,307.7,
1991-07,310.2,
1991-10,315.9,
1992-01,311.4,
1992-04,318.8,
1992-07,315.6,
1992-10,309.6,
1993-01,306.5,
1993-04,303.5,
1993-07,300.0,
1993-10,294.2,
1994-01,291.6,
1994-04,291.3,
1994-07,291.3,
1994-10,295.3,
1995-01,301.9,
1995-04,311.3,
1995-07,314.7,
1995-10,315.1,
1996-01,320.1,
1996-04,326.0,
1996-07,327.8,
1996-10,331.2,
1997-01,333.7,
1997-04,342.2,
1997-07,337.4,
1997-10,340.5,
1998-01,345.5,
1998-04,350.4,
1998-07,355.9,
1998-10,366.0,
1999-01,365.3,
1999-04,371.0,
1999-07,369.3,
1999-10,394.6,
2000-01,391.1,
2000-04,405.0,
2000-07,400.7,
2000-10,432.2,
2001-01,449.5,
2001-04,459.6,
2001-07,448.8,
2001-10,457.5,
2002-01,460.0,
2002-04,460.4,
2002-07,468.5,
2002-10,452.3,
2003-01,450.4,
2003-04,449.6,
2003-07,438.4,
2003-10,439.6,
2004-01,429.0,
2004-04,419.4,
2004-07,408.9,
2004-10,408.3,
2005-01,409.7,
2005-04,412.5,
2005-07,410.9,
2005-10,414.3,
2006-01,415.7,
2006-04,426.7,
2006-07,430.6,
2006-10,429.3,
2007-01,441.3,
2007-04,450.6,
2007-07,455.9,
2007-10,463.7,
2008-01,464.9,
2008-04,479.1,
2008-07,478.6,
2008-10,478.9,
2009-01,478.5,
2009-04,476.3,
2009-07,450.8,
2009-10,425.8,
2010-01,428.0,
2010-04,429.0,
2010-07,415.6,
2010-10,405.9,
2011-01,393.3,
2011-04,399.1,
2011-07,410.5,
2011-10,421.1,
2012-01,422.5,
2012-04,429.3,
2012-07,433.0,
2012-10,427.6,
2013-01,439.4,
2013-04,449.6,
2013-07,445.7,
2013-10,437.1,
2014-01,450.2,
