"",BBK01.OEAE09I,BBK01.OEAE09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:21,
2002-01,3.810,
2002-04,3.558,
2002-07,3.207,
2002-10,2.987,
2003-01,2.897,
2003-04,2.973,
2003-07,2.918,
2003-10,2.731,
2004-01,2.742,
2004-04,2.685,
2004-07,2.147,
2004-10,2.089,
2005-01,2.169,
2005-04,2.212,
2005-07,2.722,
2005-10,2.402,
2006-01,2.478,
2006-04,2.524,
2006-07,2.486,
2006-10,2.731,
2007-01,2.714,
2007-04,2.643,
2007-07,2.678,
2007-10,2.654,
2008-01,2.571,
2008-04,2.677,
2008-07,2.887,
2008-10,2.455,
2009-01,2.210,
2009-04,1.877,
2009-07,2.220,
2009-10,2.096,
2010-01,2.219,
2010-04,2.118,
2010-07,2.150,
2010-10,2.317,
2011-01,2.336,
2011-04,2.287,
2011-07,2.205,
2011-10,2.188,
2012-01,2.165,
2012-04,2.186,
2012-07,2.210,
2012-10,1.976,
2013-01,1.924,
2013-04,1.729,
2013-07,1.762,
2013-10,1.880,
2014-01,1.940,
2014-04,1.681,
2014-07,1.686,
