"",BBFN1.M.DE.N.1.A.VG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.VG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / British Virgin Islands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:38,
1994-01,0.000,
1994-02,0.000,
1994-03,0.000,
1994-04,0.000,
1994-05,0.000,
1994-06,0.000,
1994-07,0.000,
1994-08,0.000,
1994-09,0.000,
1994-10,0.000,
1994-11,0.000,
1994-12,0.003,
1995-01,0.003,
1995-02,0.003,
1995-03,0.003,
1995-04,0.003,
1995-05,0.003,
1995-06,0.003,
1995-07,0.003,
1995-08,0.004,
1995-09,0.004,
1995-10,0.004,
1995-11,0.004,
1995-12,0.004,
1996-01,0.004,
1996-02,0.004,
1996-03,0.004,
1996-04,0.004,
1996-05,0.001,
1996-06,-,Nothing exists
1996-07,0.002,
1996-08,0.002,
1996-09,.,No value available
1996-10,.,No value available
1996-11,.,No value available
1996-12,.,No value available
1997-01,.,No value available
1997-02,.,No value available
1997-03,0.005,
1997-04,0.007,
1997-05,0.007,
1997-06,0.006,
1997-07,0.006,
1997-08,0.006,
1997-09,0.006,
1997-10,0.006,
1997-11,.,No value available
1997-12,.,No value available
1998-01,0.005,
1998-02,0.006,
1998-03,0.005,
1998-04,0.004,
1998-05,0.003,
1998-06,0.003,
1998-07,0.003,
1998-08,0.004,
1998-09,0.005,
1998-10,0.005,
1998-11,0.006,
1998-12,0.007,
1999-01,0.007,
1999-02,0.007,
1999-03,0.006,
1999-04,0.006,
1999-05,0.013,
1999-06,0.008,
1999-07,0.009,
1999-08,0.005,
1999-09,0.005,
1999-10,0.005,
1999-11,0.007,
1999-12,0.010,
2000-01,0.005,
2000-02,0.008,
2000-03,0.008,
2000-04,0.014,
2000-05,0.014,
2000-06,0.021,
2000-07,0.018,
2000-08,0.017,
2000-09,0.011,
2000-10,0.006,
2000-11,0.006,
2000-12,0.008,
2001-01,0.003,
2001-02,0.005,
2001-03,0.005,
2001-04,0.003,
2001-05,0.014,
2001-06,0.033,
2001-07,0.021,
2001-08,0.006,
2001-09,0.008,
2001-10,0.006,
2001-11,0.007,
2001-12,0.007,
2002-01,0.009,
2002-02,0.009,
2002-03,0.008,
2002-04,0.006,
2002-05,0.006,
2002-06,0.006,
2002-07,0.006,
2002-08,0.006,
2002-09,0.006,
2002-10,0.007,
2002-11,0.004,
2002-12,0.007,
2003-01,0.007,
2003-02,0.005,
2003-03,0.004,
2003-04,0.004,
2003-05,0.004,
2003-06,0.004,
2003-07,0.008,
2003-08,0.015,
2003-09,0.016,
2003-10,0.015,
2003-11,0.015,
2003-12,0.019,
2004-01,0.015,
2004-02,0.016,
2004-03,0.014,
2004-04,0.014,
2004-05,0.014,
2004-06,0.013,
2004-07,0.017,
2004-08,0.017,
2004-09,0.006,
2004-10,0.005,
2004-11,0.003,
2004-12,0.004,
2005-01,0.036,
2005-02,0.003,
2005-03,0.003,
2005-04,0.003,
2005-05,0.004,
2005-06,0.005,
2005-07,0.005,
2005-08,0.005,
2005-09,0.005,
2005-10,0.005,
2005-11,0.005,
2005-12,0.005,
2006-01,0.005,
2006-02,0.031,
2006-03,0.036,
2006-04,0.036,
2006-05,0.034,
2006-06,0.034,
2006-07,0.035,
2006-08,0.035,
2006-09,0.036,
2006-10,0.034,
2006-11,0.034,
2006-12,0.034,
2007-01,0.034,
2007-02,0.033,
2007-03,0.034,
2007-04,0.041,
2007-05,0.038,
2007-06,0.038,
2007-07,0.042,
2007-08,0.037,
2007-09,0.037,
2007-10,0.036,
2007-11,0.034,
2007-12,0.094,
2008-01,0.094,
2008-02,0.089,
2008-03,0.085,
2008-04,0.090,
2008-05,0.089,
2008-06,0.111,
2008-07,0.112,
2008-08,0.111,
2008-09,0.110,
2008-10,0.085,
2008-11,0.085,
2008-12,0.084,
2009-01,0.083,
2009-02,0.033,
2009-03,0.033,
2009-04,0.033,
2009-05,0.035,
2009-06,0.036,
2009-07,0.036,
2009-08,0.011,
2009-09,0.015,
2009-10,0.017,
2009-11,0.017,
2009-12,0.019,
2010-01,0.022,
2010-02,0.020,
2010-03,0.013,
2010-04,0.013,
2010-05,0.013,
2010-06,0.019,
2010-07,0.019,
2010-08,0.020,
2010-09,0.026,
2010-10,0.026,
2010-11,0.019,
2010-12,0.043,
2011-01,0.080,
2011-02,0.080,
2011-03,0.072,
2011-04,0.071,
2011-05,0.072,
2011-06,0.071,
2011-07,0.072,
2011-08,0.073,
2011-09,0.072,
2011-10,0.073,
2011-11,0.074,
2011-12,0.075,
2012-01,0.102,
2012-02,0.121,
2012-03,0.099,
2012-04,0.116,
2012-05,0.122,
2012-06,0.121,
2012-07,0.086,
2012-08,0.081,
2012-09,0.076,
2012-10,0.069,
2012-11,0.077,
2012-12,0.078,
2013-01,0.070,
2013-02,0.066,
2013-03,0.064,
2013-04,0.063,
2013-05,0.059,
2013-06,0.059,
2013-07,0.049,
2013-08,0.108,
2013-09,0.105,
2013-10,0.055,
2013-11,0.054,
2013-12,0.070,
2014-01,0.086,
2014-02,0.086,
2014-03,0.086,
2014-04,0.088,
2014-05,0.087,
2014-06,0.088,
2014-07,0.086,
2014-08,0.086,
2014-09,0.094,
2014-10,0.092,
2014-11,0.121,
2014-12,0.122,
