"",BBFN1.M.DE.N.1.L.BR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:36,
1994-07,0.157,
1994-08,0.189,
1994-09,0.161,
1994-10,0.169,
1994-11,0.170,
1994-12,0.182,
1995-01,0.158,
1995-02,0.162,
1995-03,0.153,
1995-04,0.155,
1995-05,0.170,
1995-06,0.172,
1995-07,0.181,
1995-08,0.177,
1995-09,0.213,
1995-10,0.182,
1995-11,0.192,
1995-12,0.201,
1996-01,0.261,
1996-02,0.177,
1996-03,0.163,
1996-04,0.179,
1996-05,0.197,
1996-06,0.187,
1996-07,0.175,
1996-08,0.187,
1996-09,0.183,
1996-10,0.188,
1996-11,0.191,
1996-12,0.222,
1997-01,0.219,
1997-02,0.194,
1997-03,0.201,
1997-04,0.226,
1997-05,0.226,
1997-06,0.278,
1997-07,0.281,
1997-08,0.281,
1997-09,0.298,
1997-10,0.305,
1997-11,0.325,
1997-12,0.353,
1998-01,0.243,
1998-02,0.279,
1998-03,0.284,
1998-04,0.307,
1998-05,0.306,
1998-06,0.337,
1998-07,0.359,
1998-08,0.300,
1998-09,0.315,
1998-10,0.350,
1998-11,0.302,
1998-12,0.309,
1999-01,0.251,
1999-02,0.264,
1999-03,0.247,
1999-04,0.247,
1999-05,0.253,
1999-06,0.261,
1999-07,0.278,
1999-08,0.314,
1999-09,0.305,
1999-10,0.336,
1999-11,0.342,
1999-12,0.395,
2000-01,0.363,
2000-02,0.328,
2000-03,0.473,
2000-04,0.487,
2000-05,0.550,
2000-06,0.504,
2000-07,0.623,
2000-08,0.625,
2000-09,0.627,
2000-10,0.600,
2000-11,0.726,
2000-12,0.460,
2001-01,0.393,
2001-02,0.475,
2001-03,0.457,
2001-04,0.460,
2001-05,0.474,
2001-06,0.516,
2001-07,0.516,
2001-08,0.508,
2001-09,0.526,
2001-10,0.480,
2001-11,0.467,
2001-12,0.587,
2002-01,0.519,
2002-02,0.469,
2002-03,0.451,
2002-04,0.480,
2002-05,0.510,
2002-06,0.491,
2002-07,0.461,
2002-08,0.452,
2002-09,0.493,
2002-10,0.457,
2002-11,0.429,
2002-12,0.469,
2003-01,0.409,
2003-02,0.367,
2003-03,0.372,
2003-04,0.383,
2003-05,0.378,
2003-06,0.377,
2003-07,0.397,
2003-08,0.448,
2003-09,0.373,
2003-10,0.320,
2003-11,0.348,
2003-12,0.339,
2004-01,0.280,
2004-02,0.290,
2004-03,0.331,
2004-04,0.312,
2004-05,0.325,
2004-06,0.309,
2004-07,0.320,
2004-08,0.309,
2004-09,0.327,
2004-10,0.309,
2004-11,0.322,
2004-12,0.318,
2005-01,0.318,
2005-02,0.294,
2005-03,0.357,
2005-04,0.325,
2005-05,0.322,
2005-06,0.354,
2005-07,0.337,
2005-08,0.372,
2005-09,0.334,
2005-10,0.359,
2005-11,0.550,
2005-12,0.547,
2006-01,0.479,
2006-02,0.400,
2006-03,0.370,
2006-04,0.368,
2006-05,0.390,
2006-06,0.438,
2006-07,0.419,
2006-08,0.465,
2006-09,0.480,
2006-10,0.464,
2006-11,0.427,
2006-12,0.509,
2007-01,0.488,
2007-02,0.435,
2007-03,0.433,
2007-04,0.422,
2007-05,0.473,
2007-06,0.507,
2007-07,0.462,
2007-08,0.525,
2007-09,0.467,
2007-10,0.441,
2007-11,0.414,
2007-12,0.452,
2008-01,0.374,
2008-02,0.381,
2008-03,0.363,
2008-04,0.379,
2008-05,0.370,
2008-06,0.401,
2008-07,0.464,
2008-08,0.437,
2008-09,0.517,
2008-10,0.517,
2008-11,0.530,
2008-12,0.526,
2009-01,0.414,
2009-02,0.341,
2009-03,0.393,
2009-04,0.315,
2009-05,0.287,
2009-06,0.310,
2009-07,0.289,
2009-08,0.325,
2009-09,0.370,
2009-10,0.344,
2009-11,0.338,
2009-12,0.445,
2010-01,0.365,
2010-02,0.341,
2010-03,0.401,
2010-04,0.398,
2010-05,0.476,
2010-06,0.644,
2010-07,0.606,
2010-08,0.625,
2010-09,0.723,
2010-10,0.547,
2010-11,0.574,
2010-12,0.664,
2011-01,0.642,
2011-02,0.602,
2011-03,0.741,
2011-04,0.663,
2011-05,0.692,
2011-06,0.671,
2011-07,0.617,
2011-08,0.761,
2011-09,0.915,
2011-10,0.576,
2011-11,0.511,
2011-12,0.684,
2012-01,0.659,
2012-02,0.642,
2012-03,0.681,
2012-04,0.502,
2012-05,0.625,
2012-06,0.751,
2012-07,0.651,
2012-08,0.628,
2012-09,0.692,
2012-10,0.551,
2012-11,0.600,
2012-12,0.580,
2013-01,0.562,
2013-02,0.529,
2013-03,0.581,
2013-04,0.612,
2013-05,0.567,
2013-06,0.631,
2013-07,0.663,
2013-08,0.582,
2013-09,0.575,
2013-10,0.415,
2013-11,0.557,
2013-12,0.900,
2014-01,0.509,
2014-02,0.455,
2014-03,0.529,
2014-04,0.486,
2014-05,0.506,
2014-06,0.602,
2014-07,0.422,
2014-08,0.486,
2014-09,0.575,
2014-10,0.494,
2014-11,0.521,
2014-12,0.686,
