"",BBK01.OXA8D1,BBK01.OXA8D1_FLAGS
"",Short-term loans (including bills of exchange) to domestic non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:48,
1999-01,1.053,
1999-02,1.074,
1999-03,1.171,
1999-04,1.309,
1999-05,1.305,
1999-06,1.456,
1999-07,1.465,
1999-08,1.347,
1999-09,1.328,
1999-10,1.269,
1999-11,1.182,
1999-12,1.313,
2000-01,1.342,
2000-02,1.207,
2000-03,1.403,
2000-04,1.393,
2000-05,1.279,
2000-06,1.269,
2000-07,1.325,
2000-08,1.303,
2000-09,1.194,
2000-10,1.160,
2000-11,1.239,
2000-12,1.162,
2001-01,1.260,
2001-02,0.999,
2001-03,1.100,
2001-04,1.140,
2001-05,1.215,
2001-06,1.192,
2001-07,1.264,
2001-08,1.218,
2001-09,1.303,
2001-10,1.249,
2001-11,1.296,
2001-12,1.423,
2002-01,1.549,
2002-02,1.355,
2002-03,1.128,
2002-04,1.320,
2002-05,1.199,
2002-06,1.305,
2002-07,1.579,
2002-08,1.517,
2002-09,1.661,
2002-10,1.628,
2002-11,1.785,
2002-12,1.747,
2003-01,1.623,
2003-02,1.590,
2003-03,1.738,
2003-04,1.595,
2003-05,1.664,
2003-06,1.712,
2003-07,1.588,
2003-08,1.365,
2003-09,1.398,
2003-10,1.290,
2003-11,1.459,
2003-12,1.231,
2004-01,1.443,
2004-02,1.293,
2004-03,1.356,
2004-04,1.453,
2004-05,1.137,
2004-06,1.096,
2004-07,1.221,
2004-08,0.981,
2004-09,1.387,
2004-10,1.309,
2004-11,1.188,
2004-12,1.082,
2005-01,1.119,
2005-02,0.946,
2005-03,1.058,
2005-04,1.061,
2005-05,0.978,
2005-06,1.019,
2005-07,1.218,
2005-08,1.039,
2005-09,1.094,
2005-10,1.153,
2005-11,1.176,
2005-12,1.444,
2006-01,1.057,
2006-02,0.999,
2006-03,1.166,
2006-04,1.131,
2006-05,0.834,
2006-06,1.062,
2006-07,1.031,
2006-08,0.937,
2006-09,1.174,
2006-10,1.004,
2006-11,0.987,
2006-12,1.164,
2007-01,1.075,
2007-02,0.929,
2007-03,0.974,
2007-04,0.919,
2007-05,0.884,
2007-06,0.898,
2007-07,0.971,
2007-08,0.860,
2007-09,0.847,
2007-10,0.856,
2007-11,0.857,
2007-12,0.834,
2008-01,0.799,
2008-02,0.763,
2008-03,0.853,
2008-04,0.877,
2008-05,0.746,
2008-06,0.779,
2008-07,0.675,
2008-08,0.649,
2008-09,0.670,
2008-10,0.906,
2008-11,1.110,
2008-12,0.977,
2009-01,1.152,
2009-02,1.148,
2009-03,0.827,
2009-04,0.746,
2009-05,0.870,
2009-06,0.738,
2009-07,0.930,
2009-08,0.675,
2009-09,0.707,
2009-10,0.738,
2009-11,0.791,
2009-12,0.722,
2010-01,0.961,
2010-02,0.708,
2010-03,0.722,
2010-04,0.921,
2010-05,0.904,
2010-06,0.750,
2010-07,0.727,
2010-08,0.630,
2010-09,0.716,
2010-10,0.711,
2010-11,0.700,
2010-12,0.861,
2011-01,0.940,
2011-02,0.909,
2011-03,0.934,
2011-04,0.957,
2011-05,0.906,
2011-06,1.056,
2011-07,0.901,
2011-08,0.892,
2011-09,0.980,
2011-10,0.961,
2011-11,0.996,
2011-12,0.930,
2012-01,1.089,
2012-02,0.991,
2012-03,1.018,
2012-04,0.924,
2012-05,0.951,
2012-06,1.015,
2012-07,0.986,
2012-08,1.029,
2012-09,1.240,
2012-10,1.041,
2012-11,1.103,
2012-12,1.056,
2013-01,0.970,
2013-02,0.912,
2013-03,0.952,
2013-04,1.010,
2013-05,0.953,
2013-06,0.997,
2013-07,0.918,
2013-08,0.903,
2013-09,0.961,
2013-10,0.952,
2013-11,1.023,
2013-12,1.089,
2014-01,1.023,
2014-02,0.935,
2014-03,0.991,
2014-04,0.956,
2014-05,0.863,
2014-06,0.861,
2014-07,0.858,
2014-08,0.799,
2014-09,0.820,
2014-10,0.788,
2014-11,0.855,
2014-12,0.709,Provisional value
