"",BBFB1.Q.N.DE.AU.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:43,
1991-01,3.186,
1991-04,5.535,
1991-07,4.397,
1991-10,2.989,
1992-01,2.489,
1992-04,2.791,
1992-07,2.774,
1992-10,2.977,
1993-01,1.762,
1993-04,3.224,
1993-07,2.481,
1993-10,3.596,
1994-01,3.049,
1994-04,3.657,
1994-07,2.609,
1994-10,1.550,
1995-01,1.655,
1995-04,3.230,
1995-07,3.369,
1995-10,1.915,
1996-01,1.754,
1996-04,2.039,
1996-07,3.246,
1996-10,3.319,
1997-01,2.781,
1997-04,2.243,
1997-07,1.817,
1997-10,2.358,
1998-01,2.420,
1998-04,6.600,
1998-07,5.370,
1998-10,2.801,
1999-01,5.437,
1999-04,4.497,
1999-07,3.292,
1999-10,2.203,
2000-01,-0.596,
2000-04,2.951,
2000-07,2.254,
2000-10,7.773,
2001-01,3.835,
2001-04,1.531,
2001-07,2.299,
2001-10,2.239,
2002-01,2.199,
2002-04,2.614,
2002-07,0.114,
2002-10,1.667,
2003-01,1.602,
2003-04,4.346,
2003-07,1.674,
2003-10,1.700,
2004-01,2.362,
2004-04,2.842,
2004-07,3.883,
2004-10,2.097,
2005-01,2.357,
2005-04,11.801,
2005-07,1.321,
2005-10,1.718,
2006-01,2.364,
2006-04,6.512,
2006-07,3.448,
2006-10,17.852,
2007-01,14.719,
2007-04,15.876,
2007-07,5.380,
2007-10,3.383,
2008-01,13.402,
2008-04,17.398,
2008-07,9.065,
2008-10,10.637,
2009-01,1.156,
2009-04,41.999,
2009-07,-3.327,
2009-10,-11.464,
2010-01,12.553,
2010-04,13.994,
2010-07,10.714,
2010-10,36.364,
2011-01,15.999,
2011-04,17.559,
2011-07,17.641,
2011-10,11.943,
2012-01,13.333,
2012-04,18.658,
2012-07,16.008,
2012-10,13.934,
2013-01,16.071,
2013-04,18.708,
2013-07,6.657,
2013-10,30.686,
2014-01,9.325,Provisional value
2014-04,26.234,Provisional value
2014-07,22.185,Provisional value
