"",BBK01.OEYK04G,BBK01.OEYK04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:05,
2002-01,0.428,
2002-04,0.417,
2002-07,0.427,
2002-10,0.416,
2003-01,0.405,
2003-04,0.375,
2003-07,0.310,
2003-10,0.294,
2004-01,0.291,
2004-04,0.305,
2004-07,0.309,
2004-10,0.313,
2005-01,0.200,
2005-04,0.193,
2005-07,0.339,
2005-10,0.338,
2006-01,0.321,
2006-04,0.343,
2006-07,0.399,
2006-10,0.409,
2007-01,0.457,
2007-04,0.513,
2007-07,0.703,
2007-10,0.939,
2008-01,1.027,
2008-04,1.131,
2008-07,1.156,
2008-10,1.098,
2009-01,0.587,
2009-04,0.489,
2009-07,0.264,
2009-10,0.138,
2010-01,0.091,
2010-04,0.072,
2010-07,0.091,
2010-10,0.098,
2011-01,0.104,
2011-04,0.108,
2011-07,0.125,
2011-10,0.108,
2012-01,0.095,
2012-04,0.071,
2012-07,0.081,
2012-10,0.060,
2013-01,0.071,
2013-04,0.063,
2013-07,0.071,
2013-10,0.058,
2014-01,0.065,
2014-04,0.056,
2014-07,0.056,
