"",BBK01.CEBD03,BBK01.CEBD03_FLAGS
"",Currency and transferable deposits debtor: All sectors                   creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:05,
1991-01,212.6,
1991-04,223.2,
1991-07,218.5,
1991-10,203.5,
1992-01,239.1,
1992-04,246.3,
1992-07,258.5,
1992-10,263.0,
1993-01,284.1,
1993-04,310.0,
1993-07,303.6,
1993-10,307.5,
1994-01,272.8,
1994-04,282.5,
1994-07,251.0,
1994-10,276.0,
1995-01,258.5,
1995-04,259.9,
1995-07,265.1,
1995-10,287.9,
1996-01,281.2,
1996-04,283.5,
1996-07,298.1,
1996-10,310.3,
1997-01,312.7,
1997-04,340.9,
1997-07,313.1,
1997-10,330.7,
1998-01,351.7,
1998-04,371.6,
1998-07,374.0,
1998-10,359.0,
1999-01,302.0,
1999-04,290.8,
1999-07,280.8,
1999-10,254.3,
2000-01,285.4,
2000-04,283.0,
2000-07,262.1,
2000-10,273.7,
2001-01,310.4,
2001-04,331.6,
2001-07,344.5,
2001-10,318.1,
2002-01,298.0,
2002-04,324.7,
2002-07,331.4,
2002-10,334.3,
2003-01,368.4,
2003-04,383.3,
2003-07,355.0,
2003-10,329.3,
2004-01,352.8,
2004-04,347.0,
2004-07,361.7,
2004-10,302.4,
2005-01,372.0,
2005-04,399.2,
2005-07,366.5,
2005-10,320.4,
2006-01,357.5,
2006-04,354.2,
2006-07,354.3,
2006-10,372.2,
2007-01,401.7,
2007-04,418.4,
2007-07,426.8,
2007-10,429.6,
2008-01,454.5,
2008-04,426.4,
2008-07,510.6,
2008-10,568.4,
2009-01,469.3,
2009-04,525.8,
2009-07,471.3,
2009-10,462.1,
2010-01,512.4,
2010-04,631.9,
2010-07,551.2,
2010-10,564.3,
2011-01,539.8,
2011-04,535.1,
2011-07,695.4,
2011-10,651.3,
2012-01,912.1,
2012-04,961.6,
2012-07,915.5,
2012-10,794.1,
2013-01,731.2,
2013-04,706.1,
2013-07,696.0,
2013-10,633.1,
2014-01,625.5,
