"",BBK01.BJ9181,BBK01.BJ9181_FLAGS
"",National accounts - general government expenditure - compensation of employees (ESA 2010) - Germany as a whole (western Germany up to and including 1990),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:57,
1970,30300,
1971,36190,
1972,40620,
1973,47400,
1974,55040,
1975,59870,
1976,63290,
1977,66960,
1978,67720,
1979,71410,
1980,76670,
1981,80350,
1982,82970,
1983,85150,
1984,86930,
1985,89720,
1986,93890,
1987,97120,
1988,99440,
1989,102020,
1990,107510,
1991,135914,"Break, comment"
1992,149226,
1993,155576,
1994,159038,
1995,164633,
1996,167777,
1997,168439,
1998,169398,
1999,173430,
2000,173963,
2001,176641,
2002,180327,
2003,182083,
2004,182235,
2005,182233,
2006,183180,
2007,184175,
2008,189079,
2009,197812,
2010,203528,
2011,208185,Provisional value
2012,212658,Provisional value
2013,217585,Provisional value
2014,223650,Provisional value
"",General: For Germany as a whole (western Germany in ESA 95 definition up to and including 1990),
