"",BBFB1.Q.N.DE.S1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:23,
1991-01,940.764,
1991-04,934.736,
1991-07,965.895,
1991-10,906.814,
1992-01,1040.043,
1992-04,1013.410,
1992-07,1054.501,
1992-10,1072.773,
1993-01,956.078,
1993-04,870.399,
1993-07,867.815,
1993-10,799.667,
1994-01,955.146,
1994-04,960.961,
1994-07,956.070,
1994-10,1100.569,
1995-01,1021.012,
1995-04,1037.512,
1995-07,990.842,
1995-10,1032.155,
1996-01,1061.172,
1996-04,1041.303,
1996-07,1016.318,
1996-10,1092.942,
1997-01,845.138,
1997-04,837.160,
1997-07,736.221,
1997-10,687.794,
1998-01,733.249,
1998-04,762.277,
1998-07,962.460,
1998-10,822.570,
1999-01,647.684,
1999-04,952.355,
1999-07,1173.528,
1999-10,1318.579,
2000-01,1672.874,
2000-04,1446.815,
2000-07,1510.406,
2000-10,1540.887,
2001-01,1396.652,
2001-04,1339.132,
2001-07,1209.888,
2001-10,1118.559,
2002-01,1167.594,
2002-04,1276.824,
2002-07,1376.529,
2002-10,1401.535,
2003-01,1150.560,
2003-04,1137.708,
2003-07,1189.125,
2003-10,1262.704,
2004-01,1740.948,
2004-04,1736.184,
2004-07,1835.302,
2004-10,1867.560,
2005-01,1838.609,
2005-04,2043.201,
2005-07,2118.928,
2005-10,2291.615,
2006-01,2171.225,
2006-04,2361.976,
2006-07,2397.363,
2006-10,2519.782,
2007-01,3029.740,
2007-04,3228.439,
2007-07,2861.403,
2007-10,2649.707,
2008-01,2865.761,
2008-04,2180.078,
2008-07,2058.478,
2008-10,2406.094,
2009-01,2120.573,
2009-04,2272.306,
2009-07,2327.388,
2009-10,2403.588,
2010-01,3136.426,
2010-04,3455.226,
2010-07,3511.000,
2010-10,3679.916,
2011-01,3757.899,
2011-04,4025.497,
2011-07,4031.145,
2011-10,4051.053,
2012-01,3951.397,
2012-04,3992.375,
2012-07,3935.268,
2012-10,4009.604,
2013-01,3954.200,
2013-04,4038.580,
2013-07,4003.229,
2013-10,4323.908,
2014-01,3831.430,Provisional value
2014-04,4037.315,Provisional value
2014-07,4095.112,Provisional value
