"",BBK01.OEAE22K,BBK01.OEAE22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:57,
2002-01,2.217,
2002-04,2.243,
2002-07,2.345,
2002-10,2.581,
2003-01,2.746,
2003-04,2.747,
2003-07,2.785,
2003-10,2.813,
2004-01,2.768,
2004-04,2.202,
2004-07,2.340,
2004-10,1.230,
2005-01,1.380,
2005-04,1.230,
2005-07,1.170,
2005-10,1.091,
2006-01,0.955,
2006-04,1.098,
2006-07,1.082,
2006-10,1.220,
2007-01,1.271,
2007-04,1.307,
2007-07,1.462,
2007-10,1.421,
2008-01,1.390,
2008-04,1.558,
2008-07,1.708,
2008-10,1.961,
2009-01,1.527,
2009-04,1.531,
2009-07,1.798,
2009-10,1.989,
2010-01,1.871,
2010-04,1.762,
2010-07,1.687,
2010-10,1.632,
2011-01,1.781,
2011-04,1.771,
2011-07,1.987,
2011-10,2.000,
2012-01,2.160,
2012-04,2.360,
2012-07,2.673,
2012-10,2.934,
2013-01,3.051,
2013-04,3.013,
2013-07,2.971,
2013-10,2.895,
2014-01,3.199,
2014-04,3.269,
2014-07,3.071,
