"",BBK01.OEHB18P,BBK01.OEHB18P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:39,
2002-01,0.283,
2002-04,0.289,
2002-07,0.297,
2002-10,0.298,
2003-01,0.276,
2003-04,0.290,
2003-07,0.290,
2003-10,0.275,
2004-01,0.252,
2004-04,0.247,
2004-07,0.243,
2004-10,0.239,
2005-01,0.220,
2005-04,0.220,
2005-07,0.221,
2005-10,0.212,
2006-01,0.211,
2006-04,0.220,
2006-07,0.216,
2006-10,0.207,
2007-01,0.197,
2007-04,0.203,
2007-07,0.199,
2007-10,0.186,
2008-01,0.191,
2008-04,0.185,
2008-07,0.189,
2008-10,0.191,
2009-01,0.182,
2009-04,0.182,
2009-07,0.171,
2009-10,0.172,
2010-01,0.162,
2010-04,0.132,
2010-07,0.137,
2010-10,0.132,
2011-01,0.130,
2011-04,0.129,
2011-07,0.126,
2011-10,0.125,
2012-01,0.121,
2012-04,0.117,
2012-07,0.112,
2012-10,0.110,
2013-01,0.107,
2013-04,0.103,
2013-07,0.104,
2013-10,0.102,
2014-01,0.103,
2014-04,0.105,
2014-07,0.109,
