"",BBK01.OEAB01R,BBK01.OEAB01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:15,
2002-01,18.628,
2002-04,18.726,
2002-07,18.929,
2002-10,19.291,
2003-01,19.487,
2003-04,19.405,
2003-07,19.352,
2003-10,19.407,
2004-01,19.222,
2004-04,19.214,
2004-07,19.102,
2004-10,19.016,
2005-01,19.682,
2005-04,19.667,
2005-07,19.590,
2005-10,19.341,
2006-01,19.180,
2006-04,19.375,
2006-07,19.365,
2006-10,19.301,
2007-01,18.814,
2007-04,18.545,
2007-07,18.422,
2007-10,18.495,
2008-01,34.117,
2008-04,18.648,
2008-07,19.072,
2008-10,19.175,
2009-01,19.073,
2009-04,19.594,
2009-07,19.570,
2009-10,19.957,
2010-01,20.129,
2010-04,20.292,
2010-07,20.485,
2010-10,20.628,
2011-01,20.903,
2011-04,21.055,
2011-07,21.095,
2011-10,21.470,
2012-01,21.689,
2012-04,22.386,
2012-07,22.723,
2012-10,23.049,
2013-01,23.223,
2013-04,23.512,
2013-07,23.847,
2013-10,24.161,
2014-01,24.394,
2014-04,24.503,
2014-07,24.559,
