"",BBK01.OELM08L,BBK01.OELM08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:11,
2002-01,0.034,
2002-04,0.034,
2002-07,0.030,
2002-10,0.029,
2003-01,0.030,
2003-04,0.032,
2003-07,0.032,
2003-10,0.034,
2004-01,0.027,
2004-04,0.030,
2004-07,0.037,
2004-10,0.038,
2005-01,0.038,
2005-04,0.040,
2005-07,0.048,
2005-10,0.039,
2006-01,0.033,
2006-04,0.034,
2006-07,0.035,
2006-10,0.033,
2007-01,0.030,
2007-04,0.028,
2007-07,0.026,
2007-10,0.026,
2008-01,0.023,
2008-04,0.021,
2008-07,0.020,
2008-10,0.021,
2009-01,0.020,
2009-04,0.020,
2009-07,0.019,
2009-10,0.025,
2010-01,0.031,
2010-04,0.024,
2010-07,0.029,
2010-10,0.032,
2011-01,0.032,
2011-04,0.037,
2011-07,0.038,
2011-10,0.038,
2012-01,0.036,
2012-04,0.040,
2012-07,0.046,
2012-10,0.046,
2013-01,0.046,
2013-04,0.028,
2013-07,0.028,
2013-10,0.030,
2014-01,0.024,
2014-04,0.021,
2014-07,0.017,
