"",BBFN1.M.DE.N.1.L.U3.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U3.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:42,
1995-01,18.387,
1995-02,17.436,
1995-03,18.753,
1995-04,17.940,
1995-05,18.571,
1995-06,18.272,
1995-07,18.520,
1995-08,18.211,
1995-09,18.042,
1995-10,18.409,
1995-11,18.308,
1995-12,17.317,
1996-01,.,No value available
1996-02,.,No value available
1996-03,.,No value available
1996-04,.,No value available
1996-05,22.660,
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,20.199,
1996-10,21.054,
1996-11,19.662,
1996-12,19.178,
1997-01,20.659,
1997-02,21.245,
1997-03,.,No value available
1997-04,22.979,
1997-05,22.102,
1997-06,23.563,
1997-07,24.927,
1997-08,22.188,
1997-09,21.477,
1997-10,23.857,
1997-11,22.243,
1997-12,22.863,
1998-01,21.364,
1998-02,21.521,
1998-03,23.621,
1998-04,29.325,
1998-05,29.612,
1998-06,27.977,
1998-07,26.400,
1998-08,27.076,
1998-09,25.014,
1998-10,28.635,
1998-11,28.486,
1998-12,26.530,
1999-01,26.223,
1999-02,25.904,
1999-03,28.484,
1999-04,28.835,
1999-05,29.078,
1999-06,30.433,
1999-07,30.463,
1999-08,31.820,
1999-09,32.284,
1999-10,33.606,
1999-11,35.741,
1999-12,33.968,
2000-01,36.150,
2000-02,43.820,
2000-03,43.424,
2000-04,48.581,
2000-05,59.399,
2000-06,62.376,
2000-07,54.924,
2000-08,59.941,
2000-09,67.646,
2000-10,72.650,
2000-11,68.992,
2000-12,63.763,
2001-01,72.103,
2001-02,75.656,
2001-03,66.432,
2001-04,69.036,
2001-05,63.641,
2001-06,59.641,
2001-07,64.263,
2001-08,69.094,
2001-09,66.723,
2001-10,70.039,
2001-11,64.799,
2001-12,65.360,
2002-01,66.697,
2002-02,70.436,
2002-03,73.133,
2002-04,74.864,
2002-05,66.389,
2002-06,62.740,
2002-07,59.470,
2002-08,59.851,
2002-09,61.661,
2002-10,61.665,
2002-11,60.517,
2002-12,59.194,
2003-01,61.462,
2003-02,60.740,
2003-03,63.486,
2003-04,67.181,
2003-05,65.568,
2003-06,66.686,
2003-07,67.951,
2003-08,69.543,
2003-09,68.240,
2003-10,58.069,
2003-11,58.293,
2003-12,62.672,
2004-01,60.626,
2004-02,69.307,
2004-03,54.211,
2004-04,54.235,
2004-05,56.821,
2004-06,55.254,
2004-07,54.094,
2004-08,54.455,
2004-09,54.640,
2004-10,54.357,
2004-11,53.287,
2004-12,54.856,
2005-01,51.907,
2005-02,53.637,
2005-03,52.755,
2005-04,48.220,
2005-05,49.118,
2005-06,50.522,
2005-07,52.592,
2005-08,55.288,
2005-09,59.871,
2005-10,59.427,
2005-11,59.963,
2005-12,62.282,
2006-01,65.541,
2006-02,70.591,
2006-03,71.202,
2006-04,70.623,
2006-05,70.313,
2006-06,77.941,
2006-07,77.700,
2006-08,76.477,
2006-09,86.245,
2006-10,85.723,
2006-11,88.174,
2006-12,88.158,
2007-01,85.769,
2007-02,89.591,
2007-03,88.718,
2007-04,89.953,
2007-05,93.892,
2007-06,90.193,
2007-07,90.127,
2007-08,88.316,
2007-09,96.821,
2007-10,92.938,
2007-11,89.353,
2007-12,98.064,
2008-01,94.880,
2008-02,92.108,
2008-03,98.376,
2008-04,90.096,
2008-05,95.854,
2008-06,95.443,
2008-07,91.285,
2008-08,92.421,
2008-09,94.799,
2008-10,102.129,
2008-11,99.459,
2008-12,96.910,
2009-01,98.724,
2009-02,94.556,
2009-03,92.804,
2009-04,96.178,
2009-05,93.857,
2009-06,88.462,
2009-07,85.779,
2009-08,87.048,
2009-09,84.568,
2009-10,85.724,
2009-11,85.814,
2009-12,85.541,
2010-01,83.333,
2010-02,84.258,
2010-03,88.206,
2010-04,89.803,
2010-05,93.001,
2010-06,92.327,
2010-07,97.048,
2010-08,95.300,
2010-09,97.225,
2010-10,99.458,
2010-11,97.910,
2010-12,96.854,
2011-01,101.003,
2011-02,94.893,
2011-03,96.180,
2011-04,97.646,
2011-05,97.101,
2011-06,97.320,
2011-07,93.805,
2011-08,99.706,
2011-09,101.069,
2011-10,98.082,
2011-11,99.111,
2011-12,104.419,
2012-01,97.497,
2012-02,95.231,
2012-03,109.611,
2012-04,111.647,
2012-05,107.503,
2012-06,113.088,
2012-07,115.333,
2012-08,110.574,
2012-09,105.257,
2012-10,102.124,
2012-11,102.134,
2012-12,96.500,
2013-01,100.474,
2013-02,101.680,
2013-03,96.377,
2013-04,102.793,
2013-05,96.998,
2013-06,97.551,
2013-07,91.703,
2013-08,84.420,
2013-09,86.887,
2013-10,76.025,
2013-11,77.977,
2013-12,80.008,
2014-01,79.050,
2014-02,78.073,
2014-03,81.292,
2014-04,79.495,
2014-05,82.099,
2014-06,77.361,
2014-07,77.032,
2014-08,80.558,
2014-09,80.038,
2014-10,81.979,
2014-11,81.020,
2014-12,80.813,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
