"",BBK01.OECL03T,BBK01.OECL03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:36,
2002-01,0.059,
2002-04,0.059,
2002-07,0.053,
2002-10,0.048,
2003-01,0.031,
2003-04,0.032,
2003-07,0.031,
2003-10,0.034,
2004-01,0.039,
2004-04,0.034,
2004-07,0.028,
2004-10,0.041,
2005-01,0.153,
2005-04,0.151,
2005-07,0.141,
2005-10,0.136,
2006-01,0.141,
2006-04,0.141,
2006-07,0.189,
2006-10,0.223,
2007-01,0.232,
2007-04,0.235,
2007-07,0.251,
2007-10,0.263,
2008-01,0.301,
2008-04,0.321,
2008-07,0.405,
2008-10,0.419,
2009-01,0.397,
2009-04,0.366,
2009-07,0.315,
2009-10,0.278,
2010-01,0.220,
2010-04,0.199,
2010-07,0.178,
2010-10,0.160,
2011-01,0.169,
2011-04,0.136,
2011-07,0.111,
2011-10,0.161,
2012-01,0.172,
2012-04,0.168,
2012-07,0.187,
2012-10,0.148,
2013-01,0.120,
2013-04,0.117,
2013-07,0.099,
2013-10,0.103,
2014-01,0.102,
2014-04,0.198,
2014-07,0.126,
