"",BBEX3.M.KPW.USD.CA.AC.A01,BBEX3.M.KPW.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in the Democratic People's Republic of Korea  / USD 1 = KPW * ... (middle),
unit,KPW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:33,
2010-01,98.325,comment
2010-02,101.300,
2010-03,101.760,
2010-04,100.360,
2010-05,105.325,
2010-06,104.920,
2010-07,102.375,
2010-08,103.475,
2010-09,99.455,
2010-10,98.915,
2010-11,101.365,
2010-12,101.060,
2011-01,99.150,
2011-02,99.025,
2011-03,97.800,
2011-04,95.145,
2011-05,96.800,
2011-06,96.590,
2011-07,96.800,
2011-08,96.245,
2011-09,99.155,
2011-10,98.250,
2011-11,99.935,
2011-12,101.100,
2012-01,101.050,
2012-02,99.525,
2012-03,100.255,
2012-04,100.700,
2012-05,103.585,
2012-06,103.065,
2012-07,103.855,
2012-08,102.645,
2012-09,101.430,
2012-10,101.230,
2012-11,100.910,
2012-12,100.205,
2013-01,98.790,
2013-02,100.560,
2013-03,101.420,
2013-04,99.021,comment
2013-05,100.000,
2013-06,99.380,
2013-07,96.690,
2013-08,99.845,
2013-09,98.810,
2013-10,98.600,comment
2013-11,98.670,
2013-12,98.510,comment
2014-01,98.890,comment
2014-02,97.950,
2014-03,97.770,comment
2014-04,97.770,comment
2014-05,98.390,comment
2014-06,98.050,comment
2014-07,99.020,
2014-08,99.915,comment
2014-09,101.745,comment
2014-10,101.945,
2014-11,102.725,comment
2014-12,103.870,
2015-01,107.985,
"","General: * According to unconfirmed press reports, a currency conversion took place at the end of November / beginning of December 2009 at a rate of 100 won (old) = 1 won (new); until the end of December 2009, the exchange rates were communicated to us by the Democratic People's Republic of Korea in (old) won.",
"",Source: January 2010 - March 2013 and from August 2013 calculated on the basis of buying and selling rates of the Foreign Trade Bank of the Democratic People's Republic of Korea.  April - July 2013  German Embassy Pyongyang.,
"","Comment on 2010-01: According to information provided by the Foreign Trade Bank of the Democratic People`s Republic of Korea, the rates communicated in (new) won as at the end of January 2010 were valid from 1 January 2010. On the basis of the rates from the end of December (USD 1 = KPW (old) 131.80/132.50) and the beginning of January, and taking into account the currency conversion ratio (100:1), the (new) won depreciated against the US dollar by 98.7%.",
"",Comment on 2013-04: US dollar exchange rate not available; the comparative rate was calculated using the euro exchange rate in the Democratic People's Republic of Korea in conjunction with the ECB`s euro reference exchange rate for the US dollar.,
"",Comment on 2013-10: Exchange rate as of 1 November 2013.,
"",Comment on 2013-12: Exchange rate as of 6 January 2014.,
"",Comment on 2014-01: Exchange rate as of 3 February 2014.,
"",Comment on 2014-03: Exchange rate as of 1 April 2014.,
"",Comment on 2014-04: Exchange rate as of 2 May 2014.,
"",Comment on 2014-05: Exchange rate as of 2 June 2014.,
"",Comment on 2014-06: Exchange rate as of 1 July 2014.,
"",Comment on 2014-08: Exchange rate as of 1 September 2014.,
"",Comment on 2014-09: Exchange rate as of 1 October 2014.,
"",Comment on 2014-11: Exchange rate as of 1 December 2014.,
