"",BBDE1.M.DE.Y.FG10.A2P200000.F.M.I10.A,BBDE1.M.DE.Y.FG10.A2P200000.F.M.I10.A_FLAGS
"",,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-17 08:12:06,
1991-01,54.1,
1991-02,54.1,
1991-03,54.1,
1991-04,54.9,
1991-05,56.9,
1991-06,57.9,
1991-07,57.2,
1991-08,58.4,
1991-09,58.6,
1991-10,59.2,
1991-11,59.6,
1991-12,60.2,
1992-01,61.5,
1992-02,63.1,
1992-03,63.2,
1992-04,63.8,
1992-05,64.2,
1992-06,65.2,
1992-07,67.0,
1992-08,66.5,
1992-09,66.5,
1992-10,66.6,
1992-11,67.0,
1992-12,67.0,
1993-01,66.7,
1993-02,66.6,
1993-03,66.5,
1993-04,67.4,
1993-05,67.2,
1993-06,67.8,
1993-07,69.4,
1993-08,69.0,
1993-09,69.5,
1993-10,70.0,
1993-11,69.8,
1993-12,70.8,
1994-01,70.9,
1994-02,70.2,
1994-03,71.4,
1994-04,70.2,
1994-05,70.4,
1994-06,70.9,
1994-07,71.1,
1994-08,71.6,
1994-09,72.2,
1994-10,72.6,
1994-11,71.7,
1994-12,75.2,
1995-01,72.9,
1995-02,72.5,
1995-03,74.7,
1995-04,75.0,
1995-05,73.8,
1995-06,74.2,
1995-07,74.5,
1995-08,74.9,
1995-09,75.1,
1995-10,75.6,
1995-11,76.0,
1995-12,76.7,
1996-01,77.0,
1996-02,77.0,
1996-03,76.2,
1996-04,76.4,
1996-05,76.3,
1996-06,76.8,
1996-07,76.7,
1996-08,77.3,
1996-09,77.8,
1996-10,77.2,
1996-11,77.5,
1996-12,77.6,
1997-01,77.7,
1997-02,78.7,
1997-03,78.0,
1997-04,78.1,
1997-05,77.8,
1997-06,78.4,
1997-07,78.2,
1997-08,78.2,
1997-09,78.1,
1997-10,78.4,
1997-11,79.3,
1997-12,78.8,
1998-01,79.0,
1998-02,79.4,
1998-03,78.9,
1998-04,79.5,
1998-05,79.7,
1998-06,80.0,
1998-07,79.6,
1998-08,80.0,
1998-09,79.9,
1998-10,80.4,
1998-11,80.3,
1998-12,82.7,
1999-01,79.6,
1999-02,80.4,
1999-03,81.6,
1999-04,81.5,
1999-05,81.8,
1999-06,80.9,
1999-07,81.2,
1999-08,80.9,
1999-09,81.5,
1999-10,82.0,
1999-11,81.7,
1999-12,82.2,
2000-01,82.3,
2000-02,83.4,
2000-03,82.4,
2000-04,82.9,
2000-05,84.8,
2000-06,83.1,
2000-07,83.3,
2000-08,83.5,
2000-09,83.8,
2000-10,83.8,
2000-11,84.4,
2000-12,84.3,
2001-01,86.1,
2001-02,84.3,
2001-03,85.2,
2001-04,85.0,
2001-05,85.9,
2001-06,84.7,
2001-07,84.9,
2001-08,85.1,
2001-09,85.0,
2001-10,85.4,
2001-11,85.3,
2001-12,85.7,
2002-01,85.3,
2002-02,85.5,
2002-03,85.7,
2002-04,85.7,
2002-05,86.2,
2002-06,87.8,
2002-07,88.0,
2002-08,87.5,
2002-09,87.4,
2002-10,87.5,
2002-11,87.7,
2002-12,88.2,
2003-01,88.0,
2003-02,88.4,
2003-03,87.9,
2003-04,88.9,
2003-05,88.4,
2003-06,88.4,
2003-07,88.6,
2003-08,89.4,
2003-09,90.1,
2003-10,89.3,
2003-11,90.1,
2003-12,89.3,
2004-01,91.0,
2004-02,90.8,
2004-03,91.2,
2004-04,90.6,
2004-05,90.2,
2004-06,90.6,
2004-07,89.9,
2004-08,91.0,
2004-09,91.2,
2004-10,92.0,
2004-11,91.4,
2004-12,91.0,
2005-01,91.6,
2005-02,91.8,
2005-03,93.1,
2005-04,92.3,
2005-05,91.1,
2005-06,91.8,
2005-07,92.6,
2005-08,92.0,
2005-09,92.1,
2005-10,93.6,
2005-11,93.4,
2005-12,93.4,
2006-01,94.5,
2006-02,93.8,
2006-03,93.9,
2006-04,93.0,
2006-05,94.3,
2006-06,95.0,
2006-07,95.4,
2006-08,94.3,
2006-09,97.3,
2006-10,94.1,
2006-11,95.4,
2006-12,95.6,
2007-01,95.7,
2007-02,95.4,
2007-03,96.3,
2007-04,96.4,
2007-05,97.5,
2007-06,97.5,
2007-07,97.5,
2007-08,96.6,
2007-09,96.5,
2007-10,97.2,
2007-11,98.1,
2007-12,98.3,
2008-01,97.8,
2008-02,98.4,
2008-03,98.0,
2008-04,100.1,
2008-05,98.3,
2008-06,97.4,
2008-07,99.2,
2008-08,98.7,
2008-09,98.8,
2008-10,98.6,
