"",BBK01.OEYO04J,BBK01.OEYO04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:28,
2002-01,0.005,
2002-04,-0.004,
2002-07,0.001,
2002-10,0.001,
2003-01,0.007,
2003-04,0.004,
2003-07,-0.003,
2003-10,-0.009,
2004-01,0.004,
2004-04,-0.005,
2004-07,-0.003,
2004-10,-,Nothing exists
2005-01,-0.005,
2005-04,0.020,
2005-07,0.001,
2005-10,-0.012,
2006-01,-0.009,
2006-04,0.011,
2006-07,-0.016,
2006-10,-0.008,
2007-01,-0.001,
2007-04,-0.001,
2007-07,0.012,
2007-10,0.010,
2008-01,-0.005,
2008-04,-0.007,
2008-07,-0.004,
2008-10,0.005,
2009-01,0.039,
2009-04,-0.002,
2009-07,-0.012,
2009-10,0.002,
2010-01,-0.006,
2010-04,-0.012,
2010-07,-0.006,
2010-10,0.005,
2011-01,-0.004,
2011-04,-0.004,
2011-07,0.002,
2011-10,0.017,
2012-01,-0.008,
2012-04,0.019,
2012-07,-0.003,
2012-10,-0.006,
2013-01,0.005,
2013-04,0.001,
2013-07,0.004,
2013-10,0.014,
2014-01,-0.003,
2014-04,-,Nothing exists
2014-07,-0.002,
