"",BBK01.TYI309,BBK01.TYI309_FLAGS
"",Debt securities with maturities of up to 2 years (incl money market paper) (net) / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:49,
1980-01,0,
1980-02,317,
1980-03,1380,
1980-04,762,
1980-05,336,
1980-06,240,
1980-07,490,
1980-08,-75,
1980-09,360,
1980-10,-75,
1980-11,1106,
1980-12,71,
1981-01,1544,
1981-02,975,
1981-03,3653,
1981-04,1107,
1981-05,1616,
1981-06,1649,
1981-07,1349,
1981-08,939,
1981-09,770,
1981-10,257,
1981-11,598,
1981-12,-69,
1982-01,1882,
1982-02,629,
1982-03,498,
1982-04,-2387,
1982-05,140,
1982-06,5348,
1982-07,209,
1982-08,332,
1982-09,63,
1982-10,78,
1982-11,323,
1982-12,693,
1983-01,1408,
1983-02,-715,
1983-03,-157,
1983-04,571,
1983-05,172,
1983-06,213,
1983-07,320,
1983-08,-34,
1983-09,361,
1983-10,1033,
1983-11,421,
1983-12,710,
1984-01,2334,
1984-02,-188,
1984-03,-275,
1984-04,171,
1984-05,-89,
1984-06,-292,
1984-07,282,
1984-08,-285,
1984-09,-1093,
1984-10,-1120,
1984-11,-774,
1984-12,-1589,
1985-01,2137,
1985-02,910,
1985-03,1189,
1985-04,-816,
1985-05,192,
1985-06,-540,
1985-07,-507,
1985-08,-1616,
1985-09,-1654,
1985-10,-800,
1985-11,-483,
1985-12,-1009,
1986-01,114,
1986-02,-1064,
1986-03,-1133,
1986-04,-1408,
1986-05,-1781,
1986-06,-1768,
1986-07,-2223,
1986-08,-776,
1986-09,-2144,
1986-10,81,
1986-11,-1838,
1986-12,-2071,
1987-01,-2264,
1987-02,-1002,
1987-03,-4504,
1987-04,-1109,
1987-05,-221,
1987-06,-1443,
1987-07,-561,
1987-08,405,
1987-09,-773,
1987-10,-2260,
1987-11,-53,
1987-12,-12,
1988-01,-799,
1988-02,-308,
1988-03,-521,
1988-04,-544,
1988-05,355,
1988-06,-271,
1988-07,-672,
1988-08,27,
1988-09,307,
1988-10,-408,
1988-11,219,
1988-12,-449,
1989-01,260,
1989-02,-219,
1989-03,1795,
1989-04,2330,
1989-05,1164,
1989-06,1985,
1989-07,893,
1989-08,550,
1989-09,-28,
1989-10,512,
1989-11,257,
1989-12,-364,
1990-01,3343,
1990-02,919,
1990-03,603,
1990-04,-458,
1990-05,-565,
1990-06,818,
1990-07,-1906,
1990-08,229,
1990-09,363,
1990-10,1088,
1990-11,105,
1990-12,-344,
1991-01,1050,
1991-02,194,
1991-03,240,
1991-04,-217,
1991-05,-409,
1991-06,-365,
1991-07,444,
1991-08,-91,
1991-09,-370,
1991-10,158,
1991-11,351,
1991-12,701,
1992-01,1525,
1992-02,123,
1992-03,-569,
1992-04,-1372,
1992-05,1590,
1992-06,993,
1992-07,726,
1992-08,-69,
1992-09,1904,
1992-10,183,
1992-11,3106,
1992-12,-1630,
1993-01,447,
1993-02,1426,
1993-03,6808,
1993-04,893,
1993-05,2619,
1993-06,2667,
1993-07,-399,
1993-08,1312,
1993-09,-223,
1993-10,3416,
1993-11,618,
1993-12,-851,
1994-01,4022,
1994-02,2621,
1994-03,-120,
1994-04,2449,
1994-05,-3180,
1994-06,3342,
1994-07,534,
1994-08,772,
1994-09,-4733,
1994-10,2427,
1994-11,-1268,
1994-12,-14460,
1995-01,637,
1995-02,976,
1995-03,-1831,
1995-04,1134,
1995-05,284,
1995-06,2554,
1995-07,-10268,
1995-08,204,
1995-09,-2114,
1995-10,786,
1995-11,495,
1995-12,-463,
1996-01,7262,
1996-02,145,
1996-03,561,
1996-04,-7098,
1996-05,-1286,
1996-06,-479,
1996-07,-1869,
1996-08,-75,
1996-09,-2297,
1996-10,-607,
1996-11,-1053,
1996-12,-452,
1997-01,2679,
1997-02,1389,
1997-03,-1333,
1997-04,1086,
1997-05,273,
1997-06,-76,
1997-07,-374,
1997-08,409,
1997-09,-462,
1997-10,-392,
1997-11,-193,
1997-12,211,
1998-01,467,
1998-02,2133,
1998-03,194,
1998-04,-197,
1998-05,1013,
1998-06,807,
1998-07,1901,
1998-08,415,
1998-09,-141,
1998-10,852,
1998-11,1819,
1998-12,-2276,
1999-01,-1439,
1999-02,1880,
1999-03,2502,
1999-04,4503,
1999-05,5938,
1999-06,-1771,
1999-07,-681,
1999-08,2911,
1999-09,4454,
1999-10,1885,
1999-11,9822,
1999-12,2735,
2000-01,-4055,
2000-02,3264,
2000-03,704,
2000-04,-2042,
2000-05,1813,
2000-06,962,
2000-07,625,
2000-08,6,
2000-09,-3564,
2000-10,2245,
2000-11,-2865,
2000-12,4065,
2001-01,-2856,
2001-02,3802,
2001-03,1133,
2001-04,746,
2001-05,1882,
2001-06,2048,
2001-07,2173,
2001-08,795,
2001-09,1072,
2001-10,-3132,
2001-11,4140,
2001-12,3364,
2002-01,536,
2002-02,2788,
2002-03,522,
2002-04,2196,
2002-05,2674,
2002-06,-3478,
2002-07,-1950,
2002-08,1282,
2002-09,-750,
2002-10,4226,
2002-11,866,
2002-12,1098,
2003-01,-953,
2003-02,8132,
2003-03,-3974,
2003-04,1543,
2003-05,-785,
2003-06,-1777,
2003-07,-2175,
2003-08,-7320,
2003-09,724,
2003-10,208,
2003-11,4166,
2003-12,1320,
2004-01,-353,
2004-02,-3039,
2004-03,2918,
2004-04,-335,
2004-05,-943,
2004-06,-826,
2004-07,-4235,
2004-08,767,
2004-09,-2033,
2004-10,-1283,
2004-11,-44,
2004-12,-2062,
2005-01,-1264,
2005-02,-1297,
2005-03,-3998,
2005-04,1801,
2005-05,-2085,
2005-06,2454,
2005-07,-1988,
2005-08,2738,
2005-09,1776,
2005-10,894,
2005-11,-1943,
2005-12,143,
2006-01,-965,
