"",BBK01.TVD403,BBK01.TVD403_FLAGS
"",Lending to banks (MFIS) in the euro area / Total / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:40,
1980-01,0,
1980-02,-3650,
1980-03,1916,
1980-04,-2291,
1980-05,4752,
1980-06,4129,
1980-07,1515,
1980-08,688,
1980-09,3316,
1980-10,2395,
1980-11,17373,
1980-12,4288,
1981-01,-10943,
1981-02,-7104,
1981-03,5556,
1981-04,-4481,
1981-05,8923,
1981-06,1332,
1981-07,-779,
1981-08,6592,
1981-09,-1568,
1981-10,-1019,
1981-11,19654,
1981-12,3020,
1982-01,-11367,
1982-02,3364,
1982-03,7704,
1982-04,-5581,
1982-05,4788,
1982-06,1459,
1982-07,-4064,
1982-08,6591,
1982-09,6380,
1982-10,930,
1982-11,16227,
1982-12,1610,
1983-01,-5946,
1983-02,-1409,
1983-03,-3072,
1983-04,3071,
1983-05,13729,
1983-06,2737,
1983-07,-2892,
1983-08,707,
1983-09,-3040,
1983-10,8915,
1983-11,7514,
1983-12,3516,
1984-01,-12107,
1984-02,2151,
1984-03,-4554,
1984-04,-3594,
1984-05,-213,
1984-06,4021,
1984-07,5663,
1984-08,6417,
1984-09,5972,
1984-10,5800,
1984-11,15744,
1984-12,9203,
1985-01,-21445,
1985-02,6693,
1985-03,-7117,
1985-04,-4331,
1985-05,2965,
1985-06,10515,
1985-07,488,
1985-08,598,
1985-09,7378,
1985-10,4942,
1985-11,13533,
1985-12,15666,
1986-01,-15059,
1986-02,-788,
1986-03,6844,
1986-04,1045,
1986-05,-784,
1986-06,9969,
1986-07,-4411,
1986-08,10284,
1986-09,2179,
1986-10,4598,
1986-11,25443,
1986-12,4339,
1987-01,-11289,
1987-02,2170,
1987-03,9377,
1987-04,-8229,
1987-05,14791,
1987-06,1402,
1987-07,-4910,
1987-08,12898,
1987-09,-233,
1987-10,5907,
1987-11,21111,
1987-12,2781,
1988-01,-11658,
1988-02,9226,
1988-03,-14236,
1988-04,251,
1988-05,7682,
1988-06,1057,
1988-07,3172,
1988-08,11375,
1988-09,1905,
1988-10,17091,
1988-11,13015,
1988-12,-3401,
1989-01,-17970,
1989-02,1175,
1989-03,-1395,
1989-04,7298,
1989-05,742,
1989-06,3378,
1989-07,8416,
1989-08,-7227,
1989-09,3414,
1989-10,13068,
1989-11,22864,
1989-12,5976,
1990-01,-10871,
1990-02,11393,
1990-03,-8697,
1990-04,-3907,
1990-05,5941,
1990-06,5936,
1990-07,12676,
1990-08,12770,
1990-09,7384,
1990-10,17338,
1990-11,11849,
1990-12,4723,
1991-01,-25051,
1991-02,146,
1991-03,-9894,
1991-04,4618,
1991-05,-3348,
1991-06,14852,
1991-07,-8038,
1991-08,-8887,
1991-09,6161,
1991-10,2182,
1991-11,24420,
1991-12,6462,
