"",BBK01.OEAH36P,BBK01.OEAH36P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:37,
2002-01,0.476,
2002-04,0.477,
2002-07,0.473,
2002-10,0.473,
2003-01,0.470,
2003-04,0.455,
2003-07,0.465,
2003-10,0.658,
2004-01,0.644,
2004-04,0.640,
2004-07,0.637,
2004-10,0.638,
2005-01,0.631,
2005-04,0.624,
2005-07,0.596,
2005-10,0.553,
2006-01,0.528,
2006-04,0.527,
2006-07,0.518,
2006-10,0.506,
2007-01,0.496,
2007-04,0.480,
2007-07,0.455,
2007-10,0.400,
2008-01,0.370,
2008-04,0.368,
2008-07,0.381,
2008-10,0.385,
2009-01,0.382,
2009-04,0.414,
2009-07,0.423,
2009-10,0.398,
2010-01,0.373,
2010-04,0.352,
2010-07,0.293,
2010-10,0.261,
2011-01,0.258,
2011-04,0.258,
2011-07,0.243,
2011-10,0.195,
2012-01,0.193,
2012-04,0.187,
2012-07,0.186,
2012-10,0.195,
2013-01,0.193,
2013-04,0.190,
2013-07,0.194,
2013-10,0.211,
2014-01,0.204,
2014-04,0.194,
2014-07,0.198,
