"",BBFB1.Q.N.DE.GB.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:14,
1991-01,1466.757,
1991-04,1384.211,
1991-07,1308.383,
1991-10,1215.135,
1992-01,1905.655,
1992-04,1489.114,
1992-07,1779.682,
1992-10,1248.845,
1993-01,1789.811,
1993-04,2420.611,
1993-07,2519.373,
1993-10,1926.499,
1994-01,2020.917,
1994-04,2608.920,
1994-07,2517.075,
1994-10,1894.166,
1995-01,2094.658,
1995-04,3053.185,
1995-07,2950.834,
1995-10,1969.095,
1996-01,2392.342,
1996-04,2485.408,
1996-07,2334.865,
1996-10,2051.403,
1997-01,2592.997,
1997-04,3118.209,
1997-07,3244.202,
1997-10,2532.675,
1998-01,2835.553,
1998-04,3828.483,
1998-07,3571.532,
1998-10,3323.662,
1999-01,3662.350,
1999-04,2456.769,
1999-07,3437.353,
1999-10,2841.440,
2000-01,2972.039,
2000-04,2891.891,
2000-07,2481.577,
2000-10,3114.306,
2001-01,3783.502,
2001-04,3985.251,
2001-07,5283.929,
2001-10,4210.174,
2002-01,5817.816,
2002-04,5119.168,
2002-07,6981.898,
2002-10,5691.736,
2003-01,6567.900,
2003-04,4970.157,
2003-07,6614.864,
2003-10,5913.447,
2004-01,7486.028,
2004-04,7093.529,
2004-07,6420.382,
2004-10,5649.685,
2005-01,4926.485,
2005-04,3911.476,
2005-07,5058.708,
2005-10,793.738,
2006-01,4873.327,
2006-04,4194.736,
2006-07,4808.448,
2006-10,5503.223,
2007-01,7132.073,
2007-04,6046.394,
2007-07,8216.787,
2007-10,7742.895,
2008-01,8461.981,
2008-04,7411.415,
2008-07,7271.037,
2008-10,5017.678,
2009-01,5452.589,
2009-04,6122.747,
2009-07,7146.510,
2009-10,6207.201,
2010-01,5597.110,
2010-04,6017.013,
2010-07,6590.091,
2010-10,5077.482,
2011-01,7164.336,
2011-04,6114.132,
2011-07,6223.177,
2011-10,6788.903,
2012-01,8796.620,
2012-04,9105.812,
2012-07,10010.285,
2012-10,8157.646,
2013-01,9985.908,
2013-04,9972.536,
2013-07,10079.743,
2013-10,9043.206,
2014-01,11783.201,Provisional value
2014-04,10803.254,Provisional value
2014-07,13004.343,Provisional value
