"",BBK01.PQK357,BBK01.PQK357_FLAGS
"",Lending to domestic enterprises / Long-term / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:46,
1968-10,0.345,
1969-01,0.369,
1969-04,0.390,
1969-07,0.410,
1969-10,0.424,
1970-01,0.443,
1970-04,0.460,
1970-07,0.476,
1970-10,0.543,
1971-01,0.561,
1971-04,0.565,
1971-07,0.619,
1971-10,0.628,
1972-01,0.730,
1972-04,0.751,
1972-07,0.795,
1972-10,0.818,
1973-01,0.844,
1973-04,0.866,
1973-07,0.919,
1973-10,0.940,
1974-01,0.965,
1974-04,0.963,
1974-07,0.995,
1974-10,0.972,
1975-01,0.978,
1975-04,1.001,
1975-07,1.071,
1975-10,1.165,
1976-01,1.250,
1976-04,1.366,
1976-07,1.414,
1976-10,1.505,
1977-01,1.596,
1977-04,1.735,
1977-07,1.807,
1977-10,1.885,
1978-01,1.922,
1978-04,2.066,
1978-07,2.221,
1978-10,2.463,
1979-01,2.534,
1979-04,2.559,
1979-07,2.599,
1979-10,2.468,
1980-01,2.495,
1980-04,2.483,
1980-07,2.525,
1980-10,2.555,
1981-01,2.675,
1981-04,2.631,
1981-07,2.634,
1981-10,2.625,
1982-01,2.568,
1982-04,2.567,
1982-07,2.584,
1982-10,2.610,
1983-01,2.631,
1983-04,2.705,
1983-07,2.642,
1983-10,2.732,
1984-01,2.774,
1984-04,2.726,
1984-07,2.749,
1984-10,2.983,
1985-01,2.930,
1985-04,2.981,
1985-07,3.098,
1985-10,3.174,
1986-01,3.172,
1986-04,3.342,
1986-07,3.709,
1986-10,3.904,
1987-01,4.031,
1987-04,4.169,
1987-07,4.251,
1987-10,4.358,
1988-01,4.395,
1988-04,4.735,
1988-07,4.914,
1988-10,5.039,
1989-01,5.048,
1989-04,5.194,
1989-07,5.283,
1989-10,5.268,
1990-01,5.289,
1990-04,9.201,
1990-07,7.942,
1990-10,7.872,
1991-01,5.577,
1991-04,5.639,
1991-07,5.777,
1991-10,5.792,
1992-01,5.754,
1992-04,5.594,
1992-07,5.997,
1992-10,6.136,
1993-01,5.917,
1993-04,6.270,
1993-07,6.511,
1993-10,7.533,
1994-01,7.799,
1994-04,7.984,
1994-07,8.220,
1994-10,8.402,
1995-01,8.349,
1995-04,8.485,
1995-07,8.658,
1995-10,9.039,
1996-01,9.370,
1996-04,9.394,
1996-07,9.450,
1996-10,9.940,
1997-01,10.184,
1997-04,10.279,
1997-07,10.537,
1997-10,11.147,
1998-01,11.508,
1998-04,11.846,
1998-07,12.122,
1998-10,13.250,
1999-01,12.344,
1999-04,12.229,
1999-07,12.761,
1999-10,13.516,
2000-01,13.688,
2000-04,13.741,
2000-07,14.008,
2000-10,13.901,
2001-01,13.859,
2001-04,13.905,
2001-07,13.721,
2001-10,13.583,
2002-01,13.659,
2002-04,13.655,
2002-07,13.493,
2002-10,13.227,
2003-01,13.006,
2003-04,12.557,
2003-07,12.210,
2003-10,11.895,
2004-01,11.292,
2004-04,11.397,
2004-07,10.910,
2004-10,10.693,
2005-01,10.440,
2005-04,10.023,
2005-07,9.951,
2005-10,9.598,
2006-01,9.018,
2006-04,8.845,
2006-07,8.544,
2006-10,8.469,
2007-01,8.532,
2007-04,8.461,
2007-07,8.566,
2007-10,8.659,
2008-01,8.650,
2008-04,8.544,
2008-07,8.425,
2008-10,8.365,
2009-01,8.450,
2009-04,8.507,
2009-07,8.500,
2009-10,8.595,
2010-01,8.542,
2010-04,8.609,
2010-07,8.563,
2010-10,8.746,
2011-01,8.720,
2011-04,8.943,
2011-07,9.337,
2011-10,9.456,
2012-01,9.723,
2012-04,10.274,
2012-07,10.665,
2012-10,11.233,
2013-01,11.369,
2013-04,11.372,
2013-07,11.378,
2013-10,11.479,
2014-01,11.378,
2014-04,11.524,
2014-07,11.898,
2014-10,12.054,
