"",BBEX3.D.NOK.EUR.BB.AC.000,BBEX3.D.NOK.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = NOK ... / Norway,
unit,NOK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:59:11,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,8.8550,
1999-01-05,8.7745,
1999-01-06,8.7335,
1999-01-07,8.6295,
1999-01-08,8.5900,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,8.5585,
1999-01-12,8.6100,
1999-01-13,8.7470,
1999-01-14,8.7245,
1999-01-15,8.7150,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,8.6575,
1999-01-19,8.6300,
1999-01-20,8.6000,
1999-01-21,8.6050,
1999-01-22,8.6225,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,8.6125,
1999-01-26,8.6125,
1999-01-27,8.5985,
1999-01-28,8.5700,
1999-01-29,8.5785,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,8.5395,
1999-02-02,8.5845,
1999-02-03,8.6250,
1999-02-04,8.6425,
1999-02-05,8.6725,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,8.6200,
1999-02-09,8.6505,
1999-02-10,8.6425,
1999-02-11,8.6435,
1999-02-12,8.6075,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,8.5930,
1999-02-16,8.6205,
1999-02-17,8.6955,
1999-02-18,8.7385,
1999-02-19,8.7075,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,8.6885,
1999-02-23,8.6745,
1999-02-24,8.6540,
1999-02-25,8.6965,
1999-02-26,8.6965,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,8.6475,
1999-03-02,8.6520,
1999-03-03,8.6475,
1999-03-04,8.6155,
1999-03-05,8.5800,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,8.5785,
1999-03-09,8.5605,
1999-03-10,8.5435,
1999-03-11,8.5010,
1999-03-12,8.5285,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,8.5275,
