"",BBK01.OECL01N,BBK01.OECL01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:21,
2002-01,13.054,
2002-04,12.739,
2002-07,12.294,
2002-10,12.848,
2003-01,12.350,
2003-04,12.124,
2003-07,12.273,
2003-10,12.509,
2004-01,11.979,
2004-04,11.800,
2004-07,12.663,
2004-10,13.222,
2005-01,24.586,
2005-04,24.048,
2005-07,23.489,
2005-10,23.574,
2006-01,23.588,
2006-04,23.528,
2006-07,22.961,
2006-10,23.467,
2007-01,23.836,
2007-04,24.678,
2007-07,25.802,
2007-10,27.533,
2008-01,27.703,
2008-04,28.411,
2008-07,29.997,
2008-10,33.137,
2009-01,32.805,
2009-04,32.907,
2009-07,31.987,
2009-10,31.762,
2010-01,30.827,
2010-04,31.454,
2010-07,30.842,
2010-10,30.517,
2011-01,30.541,
2011-04,30.596,
2011-07,30.291,
2011-10,30.725,
2012-01,32.110,
2012-04,32.765,
2012-07,32.475,
2012-10,32.459,
2013-01,31.604,
2013-04,31.671,
2013-07,31.031,
2013-10,31.477,
2014-01,31.648,
2014-04,32.079,
2014-07,32.556,
