"",BBFB1.Q.N.DE.W00200.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:15,
1991-01,62156.036,
1991-04,64878.736,
1991-07,61348.656,
1991-10,64524.262,
1992-01,65311.316,
1992-04,63545.706,
1992-07,59593.217,
1992-10,64529.996,
1993-01,54753.513,
1993-04,54958.125,
1993-07,52484.343,
1993-10,57031.214,
1994-01,55798.510,
1994-04,59992.434,
1994-07,57450.333,
1994-10,63879.000,
1995-01,64571.780,
1995-04,65754.003,
1995-07,61815.180,
1995-10,67153.125,
1996-01,66859.003,
1996-04,66893.157,
1996-07,63857.813,
1996-10,71607.173,
1997-01,70703.460,
1997-04,74996.591,
1997-07,74124.386,
1997-10,80394.491,
1998-01,80310.841,
1998-04,82846.624,
1998-07,77867.410,
1998-10,82176.466,
1999-01,80219.870,
1999-04,85955.159,
1999-07,84339.333,
1999-10,91047.803,
2000-01,92649.334,
2000-04,96514.353,
2000-07,97384.075,
2000-10,112534.222,
2001-01,101784.121,
2001-04,104263.709,
2001-07,95776.126,
2001-10,99025.063,
2002-01,88719.735,
2002-04,96763.946,
2002-07,92101.480,
2002-10,99737.217,
2003-01,96734.002,
2003-04,97012.642,
2003-07,92489.964,
2003-10,102345.244,
2004-01,99175.120,
2004-04,103403.382,
2004-07,102466.255,
2004-10,110042.863,
2005-01,101392.276,
2005-04,111296.618,
2005-07,109489.967,
2005-10,122476.140,
2006-01,121640.344,
2006-04,126214.643,
2006-07,125522.552,
2006-10,136018.588,
2007-01,133933.043,
2007-04,136474.316,
2007-07,134203.982,
2007-10,140064.357,
2008-01,139636.142,
2008-04,144051.295,
2008-07,143196.943,
2008-10,137541.845,
2009-01,121586.034,
2009-04,111779.175,
2009-07,113293.261,
2009-10,119170.506,
2010-01,124888.460,
2010-04,136164.018,
2010-07,136389.924,
2010-10,145902.356,
2011-01,152750.230,
2011-04,158341.541,
2011-07,153928.366,
2011-10,157985.451,
2012-01,161330.078,
2012-04,160200.456,
2012-07,156276.412,
2012-10,158812.460,
2013-01,157547.322,
2013-04,160032.411,
2013-07,159705.827,
2013-10,165001.419,
2014-01,164605.752,Provisional value
2014-04,165894.679,Provisional value
2014-07,162229.490,Provisional value
