"",BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:10,
1991-01,685.431,
1991-04,271.172,
1991-07,117.005,
1991-10,893.838,
1992-01,27.852,
1992-04,317.518,
1992-07,-215.403,
1992-10,-1171.550,
1993-01,-529.533,
1993-04,30.241,
1993-07,227.460,
1993-10,-105.180,
1994-01,629.940,
1994-04,497.661,
1994-07,-123.900,
1994-10,-936.935,
1995-01,443.230,
1995-04,588.662,
1995-07,-779.656,
1995-10,-162.739,
1996-01,752.976,
1996-04,91.021,
1996-07,-1189.566,
1996-10,372.285,
1997-01,-351.074,
1997-04,1062.032,
1997-07,1636.897,
1997-10,859.039,
1998-01,4346.679,
1998-04,3929.891,
1998-07,576.174,
1998-10,4600.797,
1999-01,10135.435,
1999-04,3809.522,
1999-07,5682.874,
1999-10,834.797,
2000-01,1542.216,
2000-04,3988.885,
2000-07,5463.084,
2000-10,4549.085,
2001-01,6025.165,
2001-04,5889.740,
2001-07,4920.047,
2001-10,3701.375,
2002-01,5088.337,
2002-04,5269.288,
2002-07,2277.838,
2002-10,-585.338,
2003-01,-1746.223,
2003-04,3826.382,
2003-07,2134.561,
2003-10,3604.194,
2004-01,-3985.559,
2004-04,1048.263,
2004-07,-1032.269,
2004-10,1144.018,
2005-01,909.712,
2005-04,4654.156,
2005-07,-8798.337,
2005-10,5030.316,
2006-01,-1336.128,
2006-04,1120.660,
2006-07,-3244.967,
2006-10,5363.414,
2007-01,190.142,
2007-04,6047.107,
2007-07,-2337.021,
2007-10,-3161.940,
2008-01,-3061.178,
2008-04,4761.305,
2008-07,-890.073,
2008-10,5708.029,
2009-01,15570.171,
2009-04,2557.619,
2009-07,1011.635,
2009-10,808.619,
2010-01,1240.066,
2010-04,3959.983,
2010-07,5839.933,
2010-10,3369.219,
2011-01,5216.285,
2011-04,4836.029,
2011-07,-1799.186,
2011-10,3574.154,
2012-01,3546.393,
2012-04,-818.849,
2012-07,4888.802,
2012-10,3824.704,
2013-01,5865.869,
2013-04,2877.513,
2013-07,96.549,
2013-10,-2411.889,
2014-01,4556.793,Provisional value
2014-04,3517.667,Provisional value
2014-07,-4854.046,Provisional value
2014-10,1656.347,Provisional value
