"",BBK01.TVE315,BBK01.TVE315_FLAGS
"",Net claims on non-euro-area residents / Total / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:40,
1997-10,-12533,
1997-11,5633,
1997-12,24882,
1998-01,-58457,
1998-02,-2820,
1998-03,-5797,
1998-04,-3366,
1998-05,31398,
1998-06,15932,
1998-07,-20090,
1998-08,8672,
1998-09,-858,
1998-10,-64840,
1998-11,-17574,
1998-12,-20982,
1999-01,-29491,
1999-02,-59392,
1999-03,-4444,
1999-04,-17051,
1999-05,-42504,
1999-06,18257,
1999-07,7951,
1999-08,-41030,
1999-09,10333,
1999-10,-36701,
1999-11,-11420,
1999-12,4849,
2000-01,-38858,
2000-02,19,
2000-03,-79921,
2000-04,-21425,
2000-05,-22509,
2000-06,79267,
2000-07,-15281,
2000-08,-11554,
2000-09,-24665,
2000-10,-14438,
2000-11,-10590,
2000-12,16885,
2001-01,-56840,
2001-02,-11233,
2001-03,-35971,
2001-04,-37610,
2001-05,-13574,
2001-06,32611,
2001-07,16827,
2001-08,26980,
2001-09,31121,
2001-10,23713,
2001-11,25952,
2001-12,-8868,
2002-01,-14661,
2002-02,-10926,
2002-03,-6030,
2002-04,-2253,
2002-05,38924,
2002-06,41540,
2002-07,2367,
2002-08,14041,
2002-09,19558,
2002-10,28697,
2002-11,34206,
2002-12,23015,
2003-01,5779,
2003-02,7599,
2003-03,12932,
2003-04,-7714,
2003-05,33809,
2003-06,65485,
2003-07,-37540,
2003-08,-30771,
2003-09,8836,
2003-10,12342,
2003-11,14095,
2003-12,-11780,
2004-01,22926,
2004-02,9349,
2004-03,8769,
2004-04,9084,
2004-05,-21658,
2004-06,17193,
2004-07,2841,
2004-08,27704,
2004-09,32759,
2004-10,17048,
2004-11,4612,
2004-12,21235,
2005-01,-7014,
2005-02,4574,
2005-03,-21958,
2005-04,10753,
2005-05,-29493,
2005-06,99731,
2005-07,-2703,
2005-08,-2242,
2005-09,-3211,
2005-10,-7940,
2005-11,-40800,
2005-12,17471,
2006-01,-16101,
2006-02,-22086,
2006-03,-4945,
2006-04,-19560,
2006-05,3614,
2006-06,72032,
2006-07,4266,
2006-08,-18326,
2006-09,18258,
2006-10,26641,
2006-11,64246,
2006-12,84767,
2007-01,-18347,
2007-02,30201,
2007-03,74100,
2007-04,-43576,
2007-05,-10406,
2007-06,51788,
2007-07,7536,
2007-08,-49323,
2007-09,-33999,
2007-10,-2820,
2007-11,21551,
2007-12,-53162,
2008-01,-24581,
2008-02,-30029,
2008-03,-63192,
2008-04,-70962,
2008-05,-64460,
2008-06,15496,
2008-07,-8051,
2008-08,672,
2008-09,29206,
2008-10,86776,
2008-11,5798,
2008-12,-42801,
2009-01,-79775,
2009-02,52735,
2009-03,-25400,
2009-04,38781,
2009-05,20466,
2009-06,46480,
2009-07,8893,
2009-08,26225,
2009-09,-13303,
2009-10,10301,
2009-11,-7150,
2009-12,48366,
2010-01,4788,
2010-02,-15156,
2010-03,-16659,
2010-04,-25738,
2010-05,27281,
2010-06,145,
2010-07,-26900,
2010-08,-6169,
2010-09,6708,
2010-10,-82880,
2010-11,8789,
2010-12,49527,
2011-01,13025,
2011-02,20803,
2011-03,100967,
2011-04,-21733,
2011-05,7915,
2011-06,65887,
2011-07,-18017,
2011-08,28332,
2011-09,23027,
2011-10,-50531,
2011-11,-24351,
2011-12,17143,
2012-01,-39759,
2012-02,20503,
2012-03,-26244,
2012-04,-29577,
2012-05,13805,
2012-06,20328,
2012-07,9615,
2012-08,21953,
2012-09,-6632,
2012-10,20502,
2012-11,64474,
2012-12,32425,
2013-01,32370,
2013-02,-10547,
2013-03,11516,
2013-04,-6031,
2013-05,77577,
2013-06,35951,
2013-07,-1829,
2013-08,34342,
2013-09,23754,
2013-10,34065,
2013-11,51563,
2013-12,78024,
2014-01,9008,
2014-02,32539,
2014-03,12636,
2014-04,-9445,
2014-05,51632,
2014-06,69332,
2014-07,27178,
2014-08,-1299,
2014-09,-25037,
2014-10,10443,
2014-11,60181,
2014-12,-5842,
2015-01,-7416,
