"",BBK01.CELO01,BBK01.CELO01_FLAGS
"",Other deposits                                                 debtor: Total            creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:17,
1999-01,-2.4,
1999-04,-0.6,
1999-07,3.6,
1999-10,0.4,
2000-01,9.7,
2000-04,-2.9,
2000-07,0.6,
2000-10,-11.7,
2001-01,7.5,
2001-04,-6.0,
2001-07,1.0,
2001-10,13.6,
2002-01,-9.1,
2002-04,3.7,
2002-07,7.7,
2002-10,7.1,
2003-01,2.6,
2003-04,-1.0,
2003-07,7.6,
2003-10,4.4,
2004-01,-4.3,
2004-04,-3.3,
2004-07,14.4,
2004-10,7.0,
2005-01,-7.1,
2005-04,6.1,
2005-07,6.1,
2005-10,-0.8,
2006-01,0.9,
2006-04,7.4,
2006-07,-5.1,
2006-10,2.3,
2007-01,-1.4,
2007-04,3.5,
2007-07,19.0,
2007-10,9.2,
2008-01,-1.0,
2008-04,-4.5,
2008-07,5.9,
2008-10,-15.3,
2009-01,-4.8,
2009-04,-6.2,
2009-07,-5.6,
2009-10,-22.5,
2010-01,6.8,
2010-04,-23.3,
2010-07,19.8,
2010-10,8.7,
2011-01,7.9,
2011-04,-11.4,
2011-07,-24.5,
2011-10,4.5,
2012-01,-14.9,
2012-04,-25.5,
2012-07,-12.7,
2012-10,3.3,
2013-01,-9.1,
2013-04,-23.4,
2013-07,22.4,
2013-10,0.2,
2014-01,6.7,
2014-04,-7.7,
2014-07,-2.7,
