"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.AT.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.AT.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Austria / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:19,
2009-09,7564,
2009-10,7577,
2009-11,7573,
2009-12,7618,
2010-01,7192,
2010-02,7181,
2010-03,7159,
2010-04,7335,
2010-05,7609,
2010-06,7758,
2010-07,7788,
2010-08,8045,
2010-09,7896,
2010-10,7941,
2010-11,7865,
2010-12,7867,
2011-01,7387,
2011-02,7443,
2011-03,7267,
2011-04,7126,
2011-05,7210,
2011-06,7221,
2011-07,7424,
2011-08,7645,
2011-09,7993,
2011-10,8137,
2011-11,8025,
2011-12,8542,
2012-01,9093,
2012-02,9567,
2012-03,9626,
2012-04,9872,
2012-05,10292,
2012-06,10538,
2012-07,10441,
2012-08,10394,
2012-09,10137,
2012-10,10148,
2012-11,10257,
2012-12,10342,
2013-01,10059,
2013-02,9890,
2013-03,9866,
2013-04,10328,
2013-05,10246,
2013-06,9748,
2013-07,9854,
2013-08,9579,
2013-09,9780,
2013-10,9698,
2013-11,9778,
2013-12,9656,
2014-01,10107,
2014-02,9962,
2014-03,10118,
2014-04,10105,
2014-05,10506,
2014-06,10914,
2014-07,10826,
2014-08,11208,
2014-09,10964,
2014-10,10334,
2014-11,10550,
