"",BBK01.OECB13T,BBK01.OECB13T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:05,
2002-01,0.678,
2002-04,0.667,
2002-07,0.662,
2002-10,0.645,
2003-01,0.624,
2003-04,0.616,
2003-07,0.581,
2003-10,0.557,
2004-01,0.550,
2004-04,0.542,
2004-07,0.531,
2004-10,0.592,
2005-01,0.603,
2005-04,0.593,
2005-07,0.580,
2005-10,0.562,
2006-01,0.551,
2006-04,0.551,
2006-07,0.553,
2006-10,0.536,
2007-01,0.521,
2007-04,0.519,
2007-07,0.511,
2007-10,0.500,
2008-01,0.491,
2008-04,0.486,
2008-07,0.480,
2008-10,0.471,
2009-01,0.459,
2009-04,0.560,
2009-07,0.550,
2009-10,0.543,
2010-01,0.541,
2010-04,0.535,
2010-07,0.618,
2010-10,0.556,
2011-01,0.566,
2011-04,0.561,
2011-07,0.556,
2011-10,0.551,
2012-01,0.536,
2012-04,0.526,
2012-07,0.526,
2012-10,0.533,
2013-01,0.531,
2013-04,0.522,
2013-07,0.518,
2013-10,0.482,
2014-01,0.470,
2014-04,0.475,
2014-07,0.488,
