"",BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:13,
1991-01,-112.116,
1991-04,-123.143,
1991-07,29.746,
1991-10,-211.900,
1992-01,226.671,
1992-04,938.915,
1992-07,251.538,
1992-10,-748.062,
1993-01,-394.319,
1993-04,-169.911,
1993-07,-735.586,
1993-10,-142.727,
1994-01,-251.517,
1994-04,246.566,
1994-07,170.649,
1994-10,114.650,
1995-01,-88.394,
1995-04,295.234,
1995-07,275.302,
1995-10,202.248,
1996-01,507.286,
1996-04,202.002,
1996-07,248.936,
1996-10,683.109,
1997-01,40.380,
1997-04,-173.593,
1997-07,-6.735,
1997-10,-749.148,
1998-01,-37.442,
1998-04,-756.172,
1998-07,668.506,
1998-10,360.707,
1999-01,240.733,
1999-04,1558.934,
1999-07,539.233,
1999-10,-190.340,
2000-01,-237.145,
2000-04,374.100,
2000-07,-43.497,
2000-10,-1277.342,
2001-01,1929.172,
2001-04,1016.254,
2001-07,157.434,
2001-10,72.944,
2002-01,-402.331,
2002-04,164.354,
2002-07,-50.731,
2002-10,-223.979,
2003-01,569.506,
2003-04,791.298,
2003-07,-198.664,
2003-10,-191.004,
2004-01,-1756.851,
2004-04,640.107,
2004-07,-497.189,
2004-10,291.101,
2005-01,1460.161,
2005-04,1073.687,
2005-07,494.871,
2005-10,489.097,
2006-01,377.950,
2006-04,904.501,
2006-07,701.920,
2006-10,1450.864,
2007-01,686.426,
2007-04,937.177,
2007-07,482.841,
2007-10,-512.901,
2008-01,-1634.303,
2008-04,1296.281,
2008-07,367.438,
2008-10,-1220.780,
2009-01,684.815,
2009-04,1624.841,
2009-07,475.099,
2009-10,1907.803,
2010-01,-1210.740,
2010-04,598.089,
2010-07,-20.567,
2010-10,976.384,
2011-01,-596.256,
2011-04,-440.213,
2011-07,-83.181,
2011-10,-662.419,
2012-01,-68.067,
2012-04,-510.153,
2012-07,1459.267,
2012-10,1839.512,
2013-01,1278.872,
2013-04,-344.620,
2013-07,759.071,
2013-10,1135.429,
2014-01,-2577.959,Provisional value
2014-04,1838.474,Provisional value
2014-07,1092.112,Provisional value
2014-10,1005.318,Provisional value
