"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:56,
1991-01,3754.704,
1991-04,4321.323,
1991-07,4771.226,
1991-10,6891.878,
1992-01,2972.442,
1992-04,3019.653,
1992-07,4130.245,
1992-10,5010.592,
1993-01,3476.823,
1993-04,2721.022,
1993-07,3460.880,
1993-10,5297.614,
1994-01,3880.746,
1994-04,4179.404,
1994-07,2214.280,
1994-10,6124.785,
1995-01,7649.329,
1995-04,8349.041,
1995-07,4022.044,
1995-10,9117.930,
1996-01,12253.034,
1996-04,9252.691,
1996-07,7683.797,
1996-10,17471.503,
1997-01,20045.493,
1997-04,7878.029,
1997-07,6966.433,
1997-10,8406.624,
1998-01,27871.936,
1998-04,15329.833,
1998-07,6782.515,
1998-10,36384.089,
1999-01,28996.938,
1999-04,45050.926,
1999-07,3271.584,
1999-10,53788.974,
2000-01,41219.776,
2000-04,46836.922,
2000-07,17884.105,
2000-10,-2749.216,
2001-01,37292.165,
2001-04,38235.972,
2001-07,813.186,
2001-10,1928.870,
2002-01,-753.458,
2002-04,7802.706,
2002-07,17470.502,
2002-10,-6497.670,
2003-01,28319.470,
2003-04,-2393.945,
2003-07,3552.028,
2003-10,6424.388,
2004-01,-3933.808,
2004-04,8829.615,
2004-07,7988.083,
2004-10,-4941.188,
2005-01,20970.708,
2005-04,20484.981,
2005-07,11080.664,
2005-10,18604.802,
2006-01,32097.030,
2006-04,19582.750,
2006-07,33271.843,
2006-10,32860.386,
2007-01,31131.000,
2007-04,29089.651,
2007-07,26474.688,
2007-10,16750.342,
2008-01,32616.108,
2008-04,25133.398,
2008-07,11649.948,
2008-10,-5779.925,
2009-01,24983.241,
2009-04,16564.340,
2009-07,14304.614,
2009-10,16339.367,
2010-01,40998.551,
2010-04,32531.419,
2010-07,10676.720,
2010-10,25637.181,
2011-01,31553.720,
2011-04,21585.259,
2011-07,16809.081,
2011-10,8216.149,
2012-01,34440.774,
2012-04,16819.649,
2012-07,18383.606,
2012-10,20256.276,
2013-01,21186.866,
2013-04,30678.728,
2013-07,8572.878,
2013-10,1129.660,
2014-01,27095.216,Provisional value
2014-04,23150.590,Provisional value
2014-07,19311.646,Provisional value
2014-10,18150.120,Provisional value
