"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.DK.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.DK.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Denmark,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:16,
2009-09,1900,
2009-10,1965,
2009-11,1949,
2009-12,2370,
2010-01,2119,
2010-02,2052,
2010-03,2213,
2010-04,2097,
2010-05,2017,
2010-06,2031,
2010-07,2075,
2010-08,1913,
2010-09,1943,
2010-10,2027,
2010-11,1973,
2010-12,2217,
2011-01,1744,
2011-02,1659,
2011-03,1556,
2011-04,1481,
2011-05,1461,
2011-06,1336,
2011-07,1306,
2011-08,1174,
2011-09,1139,
2011-10,1131,
2011-11,1115,
2011-12,1109,
2012-01,965,
2012-02,998,
2012-03,983,
2012-04,1023,
2012-05,1038,
2012-06,1217,
2012-07,1337,
2012-08,1381,
2012-09,1428,
2012-10,1410,
2012-11,1482,
2012-12,1717,
2013-01,1494,
2013-02,1540,
2013-03,1680,
2013-04,1660,
2013-05,1645,
2013-06,1603,
2013-07,1684,
2013-08,1777,
2013-09,1870,
2013-10,1908,
2013-11,1949,
2013-12,1961,
2014-01,1681,
2014-02,1673,
2014-03,1592,
2014-04,1507,
2014-05,1617,
2014-06,1668,
2014-07,1689,
2014-08,1711,
2014-09,1788,
2014-10,1767,
2014-11,1772,
