"",BBK01.OXA8P4,BBK01.OXA8P4_FLAGS
"","Stocks of loans to non-banks (non-MFIs) in other euro area member states (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:29,
2009-12,1.491,
2010-01,1.512,
2010-02,-,Nothing exists
2010-03,2.255,
2010-04,-,Nothing exists
2010-05,2.205,
2010-06,2.156,
2010-07,2.079,
2010-08,1.963,
2010-09,1.912,
2010-10,1.927,
2010-11,1.858,
2010-12,1.829,
2011-01,1.857,
2011-02,1.310,
2011-03,1.218,
2011-04,1.191,
2011-05,1.173,
2011-06,1.090,
2011-07,0.859,
2011-08,0.837,
2011-09,0.820,
2011-10,0.810,
2011-11,0.787,
2011-12,0.793,
2012-01,0.899,
2012-02,0.909,
2012-03,0.829,
2012-04,0.816,
2012-05,0.807,
2012-06,0.774,
2012-07,0.962,
2012-08,0.912,
2012-09,0.897,
2012-10,0.644,
2012-11,0.624,
2012-12,0.612,
2013-01,0.578,
2013-02,0.570,
2013-03,0.563,
2013-04,0.513,
2013-05,0.532,
2013-06,0.510,
2013-07,0.505,
2013-08,0.489,
2013-09,0.435,
2013-10,0.417,
2013-11,0.452,
2013-12,0.430,
2014-01,0.430,
2014-02,0.426,
2014-03,0.419,
2014-04,0.396,
2014-05,0.420,
2014-06,0.475,
2014-07,0.434,
2014-08,0.434,
2014-09,0.437,
2014-10,0.465,
2014-11,0.843,
2014-12,0.667,Provisional value
