"",BBK01.OECO01Q,BBK01.OECO01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:00,
2002-01,0.662,
2002-04,0.633,
2002-07,0.516,
2002-10,0.512,
2003-01,0.562,
2003-04,0.538,
2003-07,0.509,
2003-10,0.573,
2004-01,0.578,
2004-04,0.546,
2004-07,0.533,
2004-10,1.513,
2005-01,3.218,
2005-04,3.153,
2005-07,3.096,
2005-10,3.116,
2006-01,3.085,
2006-04,3.125,
2006-07,3.061,
2006-10,2.984,
2007-01,2.939,
2007-04,2.975,
2007-07,2.927,
2007-10,2.841,
2008-01,2.861,
2008-04,2.843,
2008-07,2.899,
2008-10,2.826,
2009-01,2.872,
2009-04,3.086,
2009-07,3.218,
2009-10,3.380,
2010-01,3.481,
2010-04,3.580,
2010-07,3.552,
2010-10,3.605,
2011-01,3.654,
2011-04,3.603,
2011-07,3.524,
2011-10,3.491,
2012-01,3.482,
2012-04,3.679,
2012-07,3.589,
2012-10,3.568,
2013-01,3.652,
2013-04,3.566,
2013-07,3.501,
2013-10,3.425,
2014-01,3.411,
2014-04,3.368,
2014-07,3.309,
