"",BBSF2.M.1.P.00000.GEF01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:01,
2009-09,17517,
2009-10,17478,
2009-11,17522,
2009-12,17957,
2010-01,18896,
2010-02,19246,
2010-03,20540,
2010-04,21672,
2010-05,21439,
2010-06,21152,
2010-07,21490,
2010-08,21755,
2010-09,22204,
2010-10,22472,
2010-11,22501,
2010-12,23074,
2011-01,23152,
2011-02,23443,
2011-03,23446,
2011-04,23750,
2011-05,23632,
2011-06,23275,
2011-07,22171,
2011-08,21179,
2011-09,20722,
2011-10,21201,
2011-11,20807,
2011-12,20863,
2012-01,21257,
2012-02,21660,
2012-03,21601,
2012-04,22076,
2012-05,21704,
2012-06,21660,
2012-07,22172,
2012-08,21810,
2012-09,22049,
2012-10,22255,
2012-11,22373,
2012-12,22544,
2013-01,22680,
2013-02,23016,
2013-03,23678,
2013-04,23810,
2013-05,24038,
2013-06,22760,
2013-07,23276,
2013-08,23045,
2013-09,23427,
2013-10,23374,
2013-11,23522,
2013-12,22968,
2014-01,22674,
2014-02,23052,
2014-03,23193,
2014-04,23413,
2014-05,23814,
2014-06,24099,
2014-07,24196,
2014-08,20523,
2014-09,20450,
2014-10,20357,
2014-11,20556,
