"",BBFN1.M.DE.N.1.L.U2.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from advance payments received / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:50,
1995-01,1.293,
1995-02,1.287,
1995-03,1.295,
1995-04,1.250,
1995-05,1.247,
1995-06,1.327,
1995-07,1.289,
1995-08,1.352,
1995-09,1.221,
1995-10,1.245,
1995-11,1.154,
1995-12,1.027,
1996-01,0.983,
1996-02,1.013,
1996-03,1.040,
1996-04,1.024,
1996-05,1.055,
1996-06,1.114,
1996-07,1.125,
1996-08,1.134,
1996-09,0.930,
1996-10,0.920,
1996-11,1.036,
1996-12,0.953,
1997-01,0.971,
1997-02,0.974,
1997-03,0.962,
1997-04,0.971,
1997-05,1.015,
1997-06,1.036,
1997-07,1.072,
1997-08,1.105,
1997-09,1.011,
1997-10,0.873,
1997-11,0.854,
1997-12,0.914,
1998-01,0.993,
1998-02,1.028,
1998-03,0.881,
1998-04,0.866,
1998-05,0.852,
1998-06,0.995,
1998-07,0.998,
1998-08,0.960,
1998-09,0.908,
1998-10,0.968,
1998-11,0.936,
1998-12,0.875,
1999-01,0.932,
1999-02,0.924,
1999-03,0.946,
1999-04,0.949,
1999-05,0.891,
1999-06,0.995,
1999-07,0.967,
1999-08,1.049,
1999-09,0.909,
1999-10,0.966,
1999-11,1.000,
1999-12,0.948,
2000-01,0.907,
2000-02,0.944,
2000-03,0.897,
2000-04,0.835,
2000-05,0.833,
2000-06,0.949,
2000-07,0.960,
2000-08,1.214,
2000-09,1.163,
2000-10,1.256,
2000-11,1.243,
2000-12,1.283,
2001-01,1.390,
2001-02,1.424,
2001-03,1.431,
2001-04,1.531,
2001-05,1.550,
2001-06,1.592,
2001-07,1.524,
2001-08,1.665,
2001-09,1.613,
2001-10,1.629,
2001-11,1.589,
2001-12,1.651,
2002-01,1.689,
2002-02,1.678,
2002-03,1.769,
2002-04,1.642,
2002-05,1.791,
2002-06,1.865,
2002-07,1.941,
2002-08,1.965,
2002-09,1.952,
2002-10,2.193,
2002-11,1.972,
2002-12,1.986,
2003-01,1.994,
2003-02,2.012,
2003-03,2.011,
2003-04,2.138,
2003-05,2.171,
2003-06,2.167,
2003-07,2.191,
2003-08,2.268,
2003-09,2.299,
2003-10,2.376,
2003-11,2.442,
2003-12,2.333,
2004-01,2.377,
2004-02,2.451,
2004-03,3.622,
2004-04,3.666,
2004-05,3.804,
2004-06,3.556,
2004-07,3.679,
2004-08,2.959,
2004-09,2.934,
2004-10,3.037,
2004-11,3.084,
2004-12,2.906,
2005-01,2.930,
2005-02,2.990,
2005-03,2.804,
2005-04,2.826,
2005-05,2.799,
2005-06,2.710,
2005-07,2.681,
2005-08,2.760,
2005-09,2.687,
2005-10,2.735,
2005-11,2.765,
2005-12,2.683,
2006-01,2.765,
2006-02,2.844,
2006-03,2.909,
2006-04,3.005,
2006-05,3.022,
2006-06,2.976,
2006-07,3.053,
2006-08,3.353,
2006-09,3.317,
2006-10,3.303,
2006-11,3.377,
2006-12,3.351,
2007-01,3.343,
2007-02,3.325,
2007-03,3.374,
2007-04,3.462,
2007-05,3.506,
2007-06,3.563,
2007-07,3.637,
2007-08,3.665,
2007-09,3.548,
2007-10,3.453,
2007-11,3.462,
2007-12,3.504,
2008-01,3.597,
2008-02,3.638,
2008-03,3.649,
2008-04,3.643,
2008-05,3.642,
2008-06,3.680,
2008-07,3.651,
2008-08,3.745,
2008-09,3.712,
2008-10,3.748,
2008-11,3.784,
2008-12,3.690,
2009-01,3.840,
2009-02,3.714,
2009-03,3.618,
2009-04,3.529,
2009-05,3.550,
2009-06,3.535,
2009-07,3.736,
2009-08,3.775,
2009-09,3.551,
2009-10,3.568,
2009-11,3.813,
2009-12,3.977,
2010-01,4.085,
2010-02,4.064,
2010-03,4.027,
2010-04,4.082,
2010-05,4.170,
2010-06,4.216,
2010-07,4.216,
2010-08,4.204,
2010-09,4.242,
2010-10,4.320,
2010-11,4.429,
2010-12,4.756,
2011-01,4.830,
2011-02,4.895,
2011-03,5.164,
2011-04,5.175,
2011-05,5.127,
2011-06,4.906,
2011-07,4.981,
2011-08,5.021,
2011-09,5.092,
2011-10,5.143,
2011-11,5.197,
2011-12,5.226,
2012-01,5.359,
2012-02,5.316,
2012-03,5.132,
2012-04,5.092,
2012-05,5.070,
2012-06,5.054,
2012-07,5.115,
2012-08,5.062,
2012-09,5.027,
2012-10,4.975,
2012-11,4.989,
2012-12,5.161,
2013-01,5.283,
2013-02,5.181,
2013-03,5.028,
2013-04,5.134,
2013-05,4.438,
2013-06,4.398,
2013-07,4.482,
2013-08,4.429,
2013-09,4.414,
2013-10,4.663,
2013-11,4.436,
2013-12,4.272,
2014-01,4.233,
2014-02,4.297,
2014-03,4.263,
2014-04,4.279,
2014-05,4.334,
2014-06,4.191,
2014-07,4.134,
2014-08,3.991,
2014-09,3.985,
2014-10,3.848,
2014-11,3.955,
2014-12,4.046,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
