"",BBK01.OEAH20G,BBK01.OEAH20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:13,
2002-01,3.177,
2002-04,3.165,
2002-07,3.175,
2002-10,3.116,
2003-01,3.046,
2003-04,2.884,
2003-07,2.800,
2003-10,2.768,
2004-01,2.725,
2004-04,2.537,
2004-07,2.401,
2004-10,2.507,
2005-01,1.436,
2005-04,1.451,
2005-07,1.318,
2005-10,1.515,
2006-01,1.525,
2006-04,1.601,
2006-07,1.750,
2006-10,2.112,
2007-01,2.283,
2007-04,2.491,
2007-07,2.816,
2007-10,3.821,
2008-01,4.800,
2008-04,5.139,
2008-07,5.508,
2008-10,5.373,
2009-01,4.027,
2009-04,4.885,
2009-07,4.940,
2009-10,5.366,
2010-01,5.197,
2010-04,4.837,
2010-07,4.881,
2010-10,5.261,
2011-01,5.315,
2011-04,5.256,
2011-07,6.140,
2011-10,6.702,
2012-01,6.635,
2012-04,6.690,
2012-07,6.036,
2012-10,6.956,
2013-01,7.699,
2013-04,6.792,
2013-07,5.821,
2013-10,5.680,
2014-01,5.646,
2014-04,5.640,
2014-07,5.393,
