"",BBK01.OEHL02P,BBK01.OEHL02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:37,
2002-01,1.573,
2002-04,1.588,
2002-07,1.588,
2002-10,1.577,
2003-01,1.649,
2003-04,1.680,
2003-07,1.665,
2003-10,1.666,
2004-01,1.742,
2004-04,1.747,
2004-07,1.705,
2004-10,1.693,
2005-01,1.725,
2005-04,1.742,
2005-07,1.757,
2005-10,1.767,
2006-01,1.811,
2006-04,1.801,
2006-07,1.790,
2006-10,1.781,
2007-01,1.803,
2007-04,1.837,
2007-07,1.857,
2007-10,1.843,
2008-01,1.840,
2008-04,1.860,
2008-07,1.817,
2008-10,1.860,
2009-01,1.994,
2009-04,2.127,
2009-07,2.171,
2009-10,2.266,
2010-01,2.385,
2010-04,2.467,
2010-07,2.529,
2010-10,2.600,
2011-01,2.617,
2011-04,2.634,
2011-07,2.651,
2011-10,2.813,
2012-01,2.777,
2012-04,2.850,
2012-07,2.939,
2012-10,3.021,
2013-01,3.100,
2013-04,3.224,
2013-07,3.255,
2013-10,3.398,
2014-01,3.445,
2014-04,3.520,
2014-07,3.541,
