"",BBK01.OEXM01H,BBK01.OEXM01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:29,
2002-01,1.454,
2002-04,1.413,
2002-07,1.290,
2002-10,1.307,
2003-01,1.279,
2003-04,1.073,
2003-07,0.755,
2003-10,0.789,
2004-01,0.561,
2004-04,0.679,
2004-07,0.644,
2004-10,0.719,
2005-01,0.582,
2005-04,0.532,
2005-07,0.535,
2005-10,0.723,
2006-01,0.551,
2006-04,0.742,
2006-07,0.718,
2006-10,0.845,
2007-01,0.836,
2007-04,0.845,
2007-07,1.019,
2007-10,0.971,
2008-01,1.144,
2008-04,0.764,
2008-07,0.877,
2008-10,0.921,
2009-01,0.930,
2009-04,0.974,
2009-07,0.871,
2009-10,0.905,
2010-01,0.763,
2010-04,0.659,
2010-07,0.814,
2010-10,0.881,
2011-01,0.610,
2011-04,0.692,
2011-07,0.795,
2011-10,0.766,
2012-01,0.796,
2012-04,1.139,
2012-07,1.103,
2012-10,1.182,
2013-01,1.483,
2013-04,1.509,
2013-07,1.689,
2013-10,1.583,
2014-01,1.976,
2014-04,1.717,
2014-07,1.888,
