"",BBK01.TUS011A,BBK01.TUS011A_FLAGS
"",,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:59:26,
1999-06,6625,
1999-07,5993,
1999-08,11604,
1999-09,6160,
1999-10,6169,
1999-11,11576,
1999-12,6167,
2000-01,11388,
2000-02,12200,
2000-03,13474,
2000-04,10451,
2000-05,7791,
2000-06,8011,
2000-07,6616,
2000-08,7920,
2000-09,10127,
2000-10,18029,
2000-11,6615,
2000-12,6583,
2001-01,6667,
2001-02,6697,
2001-03,6735,
2001-04,6673,
2001-05,6807,
2001-06,6790,
2001-07,6838,
2001-08,6844,
2001-09,8631,
2001-10,10651,
2001-11,11000,
2001-12,8703,
2002-01,10346,
2002-02,10176,
2002-03,10069,
2002-04,9368,
2002-05,8595,
2002-06,9205,
2002-07,10108,
2002-08,9384,
2002-09,9959,
2002-10,9465,
2002-11,10247,
2002-12,8973,
2003-01,9967,
2003-02,9716,
2003-03,10587,
2003-04,9118,
2003-05,9991,
2003-06,10527,
2003-07,10330,
2003-08,10905,
2003-09,10871,
2003-10,11302,
2003-11,10614,
2003-12,10434,
2004-01,10448,
2004-02,10023,
2004-03,9536,
2004-04,9617,
2004-05,8522,
2004-06,8989,
2004-07,8499,
2004-08,7730,
2004-09,7610,
2004-10,7153,
2004-11,7034,
2004-12,7923,
2005-01,6191,
2005-02,5462,
2005-03,6293,
2005-04,6105,
2005-05,6136,
2005-06,5805,
2005-07,6482,
2005-08,5479,
2005-09,7570,
2005-10,7350,
2005-11,6304,
2005-12,6272,
2006-01,6380,
2006-02,5678,
2006-03,6269,
2006-04,4669,
2006-05,6153,
2006-06,5801,
2006-07,6190,
2006-08,5396,
2006-09,4971,
2006-10,5045,
2006-11,5312,
2006-12,4807,
2007-01,5371,
2007-02,4889,
2007-03,5148,
2007-04,6309,
2007-05,6987,
2007-06,6124,
2007-07,6348,
2007-08,6283,
2007-09,8004,
2007-10,10187,
2007-11,13140,
2007-12,15996,
2008-01,21047,
2008-02,22472,
2008-03,24913,
2008-04,25511,
2008-05,24372,
2008-06,23491,
2008-07,25060,
2008-08,26426,
2008-09,26743,
2008-10,25534,
2008-11,19120,
2008-12,11766,
2009-01,6986,
2009-02,7710,
2009-03,7521,
2009-04,8531,
2009-05,9188,
2009-06,10116,
2009-07,7896,
2009-08,8987,
2009-09,8637,
2009-10,9034,
2009-11,9275,
2009-12,9123,
2010-01,10051,
2010-02,9555,
2010-03,9417,
2010-04,11824,
2010-05,13004,
2010-06,11216,
2010-07,11574,
2010-08,10925,
2010-09,10992,
2010-10,12736,
2010-11,11272,
2010-12,14617,
2011-01,12352,
2011-02,12098,
2011-03,13565,
2011-04,12022,
2011-05,11576,
2011-06,10611,
2011-07,12066,
2011-08,15373,
2011-09,13804,
2011-10,13153,
2011-11,13513,
2011-12,46552,
2012-01,11925,
2012-02,11964,
2012-03,16066,
2012-04,14598,
2012-05,52423,
2012-06,83329,
2012-07,90849,
2012-08,90164,
2012-09,86313,
2012-10,82229,
2012-11,82029,
2012-12,83359,
2013-01,83499,
2013-02,75140,
2013-03,70737,
2013-04,68498,
2013-05,64075,
2013-06,62169,
2013-07,59834,
2013-08,59586,
2013-09,54909,
2013-10,54717,
2013-11,52809,
2013-12,52082,
2014-01,46041,
2014-02,33699,
2014-03,27705,
2014-04,28395,
2014-05,29424,
2014-06,26057,
2014-07,4331,
2014-08,4129,
2014-09,4647,
2014-10,4998,
2014-11,4511,
2014-12,13049,
2015-01,55362,
