"",BBFN1.M.DE.N.1.A.AR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Argentina,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:54,
1994-12,1.348,
1995-01,1.350,
1995-02,1.367,
1995-03,1.367,
1995-04,1.415,
1995-05,1.419,
1995-06,1.405,
1995-07,1.360,
1995-08,1.367,
1995-09,1.292,
1995-10,1.218,
1995-11,1.259,
1995-12,1.252,
1996-01,1.262,
1996-02,1.285,
1996-03,1.283,
1996-04,1.319,
1996-05,1.296,
1996-06,1.321,
1996-07,1.332,
1996-08,1.303,
1996-09,1.328,
1996-10,1.347,
1996-11,1.371,
1996-12,1.425,
1997-01,1.398,
1997-02,1.441,
1997-03,1.475,
1997-04,1.495,
1997-05,1.510,
1997-06,1.539,
1997-07,1.564,
1997-08,1.574,
1997-09,1.699,
1997-10,1.684,
1997-11,1.691,
1997-12,1.670,
1998-01,1.693,
1998-02,1.748,
1998-03,1.662,
1998-04,1.660,
1998-05,1.718,
1998-06,1.333,
1998-07,1.373,
1998-08,1.436,
1998-09,1.386,
1998-10,1.413,
1998-11,1.377,
1998-12,1.377,
1999-01,1.416,
1999-02,1.419,
1999-03,1.407,
1999-04,1.409,
1999-05,1.347,
1999-06,1.498,
1999-07,1.471,
1999-08,1.453,
1999-09,1.405,
1999-10,1.402,
1999-11,1.479,
1999-12,1.499,
2000-01,1.556,
2000-02,1.578,
2000-03,1.611,
2000-04,1.664,
2000-05,1.758,
2000-06,1.855,
2000-07,1.853,
2000-08,1.808,
2000-09,1.950,
2000-10,2.055,
2000-11,2.192,
2000-12,1.886,
2001-01,1.856,
2001-02,1.895,
2001-03,1.916,
2001-04,1.935,
2001-05,1.801,
2001-06,1.826,
2001-07,1.866,
2001-08,1.861,
2001-09,1.814,
2001-10,1.719,
2001-11,1.818,
2001-12,1.962,
2002-01,1.995,
2002-02,1.923,
2002-03,1.789,
2002-04,1.798,
2002-05,1.721,
2002-06,1.650,
2002-07,1.625,
2002-08,1.329,
2002-09,1.274,
2002-10,1.286,
2002-11,1.259,
2002-12,1.117,
2003-01,1.042,
2003-02,1.038,
2003-03,0.998,
2003-04,0.989,
2003-05,0.983,
2003-06,0.801,
2003-07,0.783,
2003-08,0.811,
2003-09,0.740,
2003-10,0.720,
2003-11,0.654,
2003-12,0.650,
2004-01,0.643,
2004-02,0.746,
2004-03,0.741,
2004-04,0.665,
2004-05,0.755,
2004-06,0.747,
2004-07,0.772,
2004-08,0.781,
2004-09,0.749,
2004-10,0.749,
2004-11,0.768,
2004-12,0.710,
2005-01,0.607,
2005-02,0.624,
2005-03,0.675,
2005-04,0.682,
2005-05,0.732,
2005-06,0.703,
2005-07,0.687,
2005-08,0.681,
2005-09,0.693,
2005-10,0.658,
2005-11,0.671,
2005-12,0.687,
2006-01,0.712,
2006-02,0.758,
2006-03,0.747,
2006-04,0.758,
2006-05,0.737,
2006-06,0.742,
2006-07,0.788,
2006-08,0.766,
2006-09,0.847,
2006-10,0.835,
2006-11,0.817,
2006-12,0.785,
2007-01,0.790,
2007-02,0.815,
2007-03,0.805,
2007-04,0.843,
2007-05,0.851,
2007-06,0.896,
2007-07,0.951,
2007-08,0.947,
2007-09,0.981,
2007-10,0.890,
2007-11,0.912,
2007-12,0.978,
2008-01,0.931,
2008-02,0.854,
2008-03,0.884,
2008-04,1.000,
2008-05,0.979,
2008-06,1.031,
2008-07,1.029,
2008-08,1.088,
2008-09,1.105,
2008-10,1.133,
2008-11,1.096,
2008-12,1.085,
2009-01,1.029,
2009-02,1.026,
2009-03,1.038,
2009-04,0.982,
2009-05,0.983,
2009-06,0.927,
2009-07,0.937,
2009-08,0.925,
2009-09,0.930,
2009-10,0.943,
2009-11,0.942,
2009-12,0.993,
2010-01,1.025,
2010-02,1.070,
2010-03,1.153,
2010-04,1.225,
2010-05,1.298,
2010-06,1.262,
2010-07,1.304,
2010-08,1.239,
2010-09,1.186,
2010-10,1.207,
2010-11,1.249,
2010-12,1.240,
2011-01,1.213,
2011-02,1.267,
2011-03,1.267,
2011-04,1.247,
2011-05,1.294,
2011-06,1.331,
2011-07,1.363,
2011-08,1.321,
2011-09,1.295,
2011-10,1.323,
2011-11,1.331,
2011-12,1.370,
2012-01,1.407,
2012-02,1.380,
2012-03,1.370,
2012-04,1.441,
2012-05,1.490,
2012-06,1.538,
2012-07,1.541,
2012-08,1.557,
2012-09,1.540,
2012-10,1.520,
2012-11,1.511,
2012-12,1.432,
2013-01,1.433,
2013-02,1.469,
2013-03,1.501,
2013-04,1.586,
2013-05,1.580,
2013-06,1.637,
2013-07,1.712,
2013-08,1.696,
2013-09,1.729,
2013-10,1.640,
2013-11,1.602,
2013-12,1.426,
2014-01,1.393,
2014-02,1.439,
2014-03,1.449,
2014-04,1.593,
2014-05,1.453,
2014-06,1.493,
2014-07,1.442,
2014-08,1.520,
2014-09,1.553,
2014-10,1.530,
2014-11,1.458,
2014-12,1.305,
