"",BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N_FLAGS
"",Reserve Assets (mthly.) - Monetary gold - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:55:00,
1998-12,29312,
1999-01,27475,
1999-02,27475,
1999-03,29048,
1999-04,29048,
1999-05,29048,
1999-06,28106,
1999-07,28106,
1999-08,28106,
1999-09,31762,
1999-10,31762,
1999-11,31762,
1999-12,32287,
2000-01,32287,
2000-02,32287,
2000-03,32208,
2000-04,32208,
2000-05,32208,
2000-06,33744,
2000-07,33744,
2000-08,33744,
2000-09,34874,
2000-10,34874,
2000-11,34874,
2000-12,32676,
2001-01,31945,
2001-02,31956,
2001-03,32710,
2001-04,33100,
2001-05,34994,
2001-06,35494,
2001-07,33708,
2001-08,33414,
2001-09,35399,
2001-10,34531,
2001-11,34309,
2001-12,35005,
2002-01,36220,
2002-02,38095,
2002-03,38505,
2002-04,38072,
2002-05,38649,
2002-06,35435,
2002-07,34596,
2002-08,35197,
2002-09,36225,
2002-10,35530,
2002-11,35517,
2002-12,36208,
2003-01,37934,
2003-02,35721,
2003-03,34100,
2003-04,33442,
2003-05,34252,
2003-06,33435,
2003-07,34759,
2003-08,37546,
2003-09,36491,
2003-10,36595,
2003-11,36705,
2003-12,36533,
2004-01,35834,
2004-02,34930,
2004-03,38266,
2004-04,35849,
2004-05,35705,
2004-06,35793,
2004-07,35721,
2004-08,37195,
2004-09,36680,
2004-10,36935,
2004-11,37527,
2004-12,35495,
2005-01,35888,
2005-02,36348,
2005-03,36399,
2005-04,36905,
2005-05,37282,
2005-06,39816,
2005-07,38927,
2005-08,39121,
2005-09,43325,
2005-10,43325,
2005-11,46240,
2005-12,47924,
2006-01,51820,
2006-02,51646,
2006-03,53173,
2006-04,56106,
2006-05,55979,
2006-06,51983,
2006-07,54918,
2006-08,53253,
2006-09,52302,
2006-10,52080,
2006-11,53218,
2006-12,53114,
2007-01,54853,
2007-02,56389,
2007-03,54820,
2007-04,54837,
2007-05,53675,
2007-06,52809,
2007-07,53446,
2007-08,53554,
2007-09,57168,
2007-10,59549,
2007-11,59157,
2007-12,62433,
2008-01,68255,
2008-02,70196,
2008-03,65126,
2008-04,61352,
2008-05,62311,
2008-06,64930,
2008-07,64108,
2008-08,62296,
2008-09,68808,
2008-10,62655,
2008-11,70131,
2008-12,68194,
2009-01,78633,
2009-02,81893,
2009-03,75726,
2009-04,73476,
2009-05,75646,
2009-06,72955,
2009-07,72586,
2009-08,72998,
2009-09,74913,
2009-10,77320,
2009-11,85449,
2009-12,83939,
2010-01,84917,
2010-02,89796,
2010-03,90158,
2010-04,96677,
2010-05,108045,
2010-06,110727,
2010-07,98074,
2010-08,106417,
2010-09,105059,
2010-10,105507,
2010-11,115698,
2010-12,115403,
2011-01,106493,
2011-02,111426,
2011-03,110136,
2011-04,112655,
2011-05,116831,
2011-06,114087,
2011-07,123740,
2011-08,138174,
2011-09,131912,
2011-10,133987,
2011-11,138669,
2011-12,132874,
2012-01,144034,
2012-02,145234,
2012-03,135777,
2012-04,137380,
2012-05,138000,
2012-06,136094,
2012-07,144217,
2012-08,143507,
2012-09,150373,
2012-10,144172,
2012-11,145110,
2012-12,137513,
2013-01,134745,
2013-02,132131,
2013-03,136454,
2013-04,122844,
2013-05,118228,
2013-06,100280,
2013-07,109338,
2013-08,114714,
2013-09,107819,
2013-10,106477,
2013-11,99631,
2013-12,94876,
2014-01,100432,
2014-02,104678,
2014-03,102179,
2014-04,101564,
2014-05,100274,
2014-06,104600,
2014-07,105317,
2014-08,106079,
2014-09,104629,
2014-10,101929,
2014-11,103245,
2014-12,107475,
2015-01,121607,
