"",BBK01.OEXB13Q,BBK01.OEXB13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:40,
2002-01,1.628,
2002-04,1.614,
2002-07,1.586,
2002-10,1.590,
2003-01,1.596,
2003-04,1.594,
2003-07,1.555,
2003-10,1.543,
2004-01,1.497,
2004-04,1.475,
2004-07,1.447,
2004-10,0.646,
2005-01,0.635,
2005-04,0.631,
2005-07,0.625,
2005-10,0.628,
2006-01,0.642,
2006-04,0.659,
2006-07,0.656,
2006-10,0.664,
2007-01,0.656,
2007-04,0.659,
2007-07,0.659,
2007-10,0.643,
2008-01,0.631,
2008-04,0.626,
2008-07,0.606,
2008-10,0.590,
2009-01,0.589,
2009-04,0.595,
2009-07,0.600,
2009-10,0.537,
2010-01,0.536,
2010-04,0.533,
2010-07,0.531,
2010-10,0.533,
2011-01,0.534,
2011-04,0.542,
2011-07,0.547,
2011-10,0.550,
2012-01,0.556,
2012-04,0.564,
2012-07,0.548,
2012-10,0.559,
2013-01,0.577,
2013-04,0.581,
2013-07,0.580,
2013-10,0.580,
2014-01,0.588,
2014-04,0.570,
2014-07,0.575,
