"",BBK01.CEF720,BBK01.CEF720_FLAGS
"",Other accounts payable                                        debtor: Domestic financial corporations    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:19,
1999-01,218.7,
1999-04,214.7,
1999-07,223.9,
1999-10,277.5,
2000-01,260.2,
2000-04,284.1,
2000-07,278.4,
2000-10,278.6,
2001-01,299.1,
2001-04,275.8,
2001-07,280.6,
2001-10,293.9,
2002-01,301.9,
2002-04,291.2,
2002-07,293.7,
2002-10,304.3,
2003-01,321.8,
2003-04,316.4,
2003-07,297.9,
2003-10,303.8,
2004-01,305.3,
2004-04,296.9,
2004-07,298.7,
2004-10,318.3,
2005-01,300.0,
2005-04,299.4,
2005-07,312.5,
2005-10,305.3,
2006-01,309.8,
2006-04,313.0,
2006-07,320.9,
2006-10,337.4,
2007-01,346.7,
2007-04,350.4,
2007-07,369.2,
2007-10,377.1,
2008-01,388.7,
2008-04,397.5,
2008-07,431.6,
2008-10,445.7,
2009-01,464.6,
2009-04,387.5,
2009-07,398.3,
2009-10,406.4,
2010-01,389.6,
2010-04,413.8,
2010-07,385.3,
2010-10,191.1,
2011-01,195.0,
2011-04,199.3,
2011-07,158.2,
2011-10,193.7,
2012-01,198.6,
2012-04,192.7,
2012-07,179.5,
2012-10,203.0,
2013-01,232.2,
2013-04,222.4,
2013-07,222.5,
2013-10,239.3,
2014-01,217.7,
2014-04,200.9,
2014-07,192.2,
