"",BBDE1.M.DE.W.AEA1.P2XF22000.B2.V.I10.A,BBDE1.M.DE.W.AEA1.P2XF22000.B2.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Residential construction / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:20,
1991-01,100.5,
1991-02,117.1,
1991-03,164.1,
1991-04,139.4,
1991-05,139.9,
1991-06,172.2,
1991-07,143.5,
1991-08,150.3,
1991-09,174.4,
1991-10,158.4,
1991-11,153.2,
1991-12,155.5,
1992-01,124.7,
1992-02,154.9,
1992-03,186.5,
1992-04,163.7,
1992-05,160.3,
1992-06,209.6,
1992-07,161.8,
1992-08,158.9,
1992-09,188.7,
1992-10,182.9,
1992-11,175.1,
1992-12,192.4,
1993-01,150.8,
1993-02,160.3,
1993-03,236.4,
1993-04,206.9,
1993-05,208.3,
1993-06,253.7,
1993-07,235.6,
1993-08,224.7,
1993-09,246.8,
1993-10,248.5,
1993-11,243.0,
1993-12,247.1,
1994-01,214.3,
1994-02,232.0,
1994-03,342.7,
1994-04,278.7,
1994-05,278.7,
1994-06,319.1,
1994-07,258.2,
1994-08,254.6,
1994-09,302.2,
1994-10,274.2,
1994-11,274.0,
1994-12,279.4,
1995-01,205.1,
1995-02,252.8,
1995-03,303.6,
1995-04,265.1,
1995-05,269.1,
1995-06,294.9,
1995-07,247.1,
1995-08,248.2,
1995-09,280.9,
1995-10,252.1,
1995-11,233.9,
1995-12,262.4,
1996-01,177.3,
1996-02,217.7,
1996-03,317.9,
1996-04,270.6,
1996-05,281.3,
1996-06,314.1,
1996-07,261.7,
1996-08,273.3,
1996-09,312.8,
1996-10,256.5,
1996-11,232.5,
1996-12,246.3,
1997-01,178.6,
1997-02,219.0,
1997-03,273.2,
1997-04,229.3,
1997-05,241.5,
1997-06,262.7,
1997-07,235.8,
1997-08,222.7,
1997-09,246.8,
1997-10,224.9,
1997-11,182.7,
1997-12,209.5,
1998-01,163.7,
1998-02,190.5,
1998-03,257.4,
1998-04,209.3,
1998-05,225.4,
1998-06,254.3,
1998-07,236.2,
1998-08,208.8,
1998-09,237.9,
1998-10,198.9,
1998-11,179.9,
1998-12,201.0,
1999-01,165.7,
1999-02,182.6,
1999-03,237.6,
1999-04,213.3,
1999-05,220.1,
1999-06,234.2,
1999-07,221.9,
1999-08,213.4,
1999-09,222.1,
1999-10,181.5,
1999-11,166.8,
1999-12,171.1,
2000-01,148.1,
2000-02,151.5,
2000-03,222.7,
2000-04,192.9,
2000-05,181.9,
2000-06,202.2,
2000-07,178.2,
2000-08,165.3,
2000-09,173.1,
2000-10,156.0,
2000-11,133.0,
2000-12,132.8,
2001-01,122.0,
2001-02,127.2,
2001-03,174.0,
2001-04,154.0,
2001-05,160.3,
2001-06,187.5,
2001-07,137.5,
2001-08,136.8,
2001-09,152.0,
2001-10,130.1,
2001-11,104.3,
2001-12,106.8,
2002-01,98.2,
2002-02,106.4,
2002-03,145.2,
2002-04,136.6,
2002-05,133.2,
2002-06,144.3,
2002-07,117.4,
2002-08,120.6,
2002-09,131.6,
2002-10,113.7,
2002-11,117.3,
2002-12,121.8,
2003-01,84.3,
2003-02,92.7,
2003-03,134.3,
2003-04,118.5,
2003-05,112.9,
2003-06,129.8,
2003-07,120.5,
2003-08,115.3,
2003-09,129.3,
2003-10,119.0,
2003-11,106.1,
2003-12,113.9,
2004-01,70.5,
2004-02,99.1,
2004-03,119.2,
2004-04,106.7,
2004-05,113.6,
2004-06,123.8,
2004-07,107.9,
2004-08,102.9,
2004-09,120.6,
2004-10,100.2,
2004-11,86.8,
2004-12,92.3,
2005-01,67.6,
2005-02,77.1,
2005-03,110.3,
2005-04,94.9,
2005-05,105.9,
2005-06,112.2,
2005-07,101.1,
2005-08,97.0,
2005-09,107.9,
2005-10,97.8,
2005-11,86.6,
2005-12,97.6,
2006-01,73.9,
2006-02,79.8,
2006-03,106.0,
2006-04,109.3,
2006-05,108.1,
2006-06,120.5,
2006-07,117.4,
2006-08,101.2,
2006-09,113.2,
2006-10,98.7,
2006-11,85.7,
2006-12,96.0,
2007-01,73.0,
2007-02,77.6,
2007-03,102.1,
2007-04,105.7,
2007-05,102.9,
2007-06,112.9,
2007-07,102.1,
2007-08,98.9,
2007-09,107.2,
2007-10,95.8,
2007-11,77.1,
2007-12,91.4,
2008-01,69.8,
2008-02,77.6,
2008-03,104.5,
2008-04,88.2,
2008-05,94.2,
2008-06,106.7,
2008-07,99.9,
2008-08,91.3,
2008-09,109.3,
2008-10,90.4,
2008-11,86.1,
2008-12,77.2,
2009-01,55.8,
2009-02,67.8,
2009-03,92.3,
2009-04,101.6,
2009-05,93.6,
2009-06,104.8,
2009-07,103.7,
2009-08,94.6,
2009-09,105.9,
2009-10,99.2,
2009-11,86.5,
2009-12,85.1,
2010-01,54.6,
2010-02,73.8,
2010-03,109.8,
2010-04,109.3,
2010-05,105.5,
2010-06,106.2,
2010-07,110.1,
2010-08,109.0,
2010-09,125.4,
2010-10,103.6,
2010-11,92.6,
2010-12,94.9,
2011-01,75.1,
2011-02,94.4,
2011-03,137.1,
2011-04,131.9,
2011-05,141.8,
2011-06,125.7,
2011-07,130.3,
2011-08,125.2,
2011-09,123.2,
2011-10,123.1,
2011-11,118.7,
2011-12,119.7,
2012-01,99.6,
2012-02,112.3,
2012-03,147.4,
2012-04,142.3,
2012-05,129.7,
2012-06,162.5,
2012-07,138.6,
2012-08,136.7,
2012-09,138.9,
2012-10,136.0,
2012-11,121.9,
2012-12,122.5,
2013-01,101.9,
2013-02,108.4,
2013-03,151.4,
2013-04,145.0,
2013-05,142.2,
2013-06,182.0,
2013-07,158.0,
2013-08,144.8,
2013-09,152.9,
2013-10,141.4,
2013-11,122.9,
2013-12,136.8,
2014-01,112.9,
2014-02,134.0,
2014-03,165.2,
2014-04,170.1,
2014-05,157.1,
2014-06,163.1,
2014-07,143.9,
2014-08,127.0,
2014-09,149.0,
2014-10,152.0,
2014-11,130.2,
2014-12,154.4,
