"",BBK01.OEHB03O,BBK01.OEHB03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:18,
2002-01,1.810,
2002-04,1.815,
2002-07,1.866,
2002-10,1.858,
2003-01,1.839,
2003-04,1.849,
2003-07,1.878,
2003-10,1.858,
2004-01,1.889,
2004-04,1.895,
2004-07,1.938,
2004-10,1.908,
2005-01,1.902,
2005-04,1.929,
2005-07,1.988,
2005-10,2.014,
2006-01,2.007,
2006-04,1.996,
2006-07,1.950,
2006-10,1.954,
2007-01,1.958,
2007-04,1.969,
2007-07,1.979,
2007-10,1.952,
2008-01,1.999,
2008-04,2.042,
2008-07,2.109,
2008-10,2.080,
2009-01,1.991,
2009-04,2.083,
2009-07,2.143,
2009-10,2.242,
2010-01,2.332,
2010-04,2.408,
2010-07,2.477,
2010-10,2.522,
2011-01,2.520,
2011-04,2.556,
2011-07,2.696,
2011-10,2.714,
2012-01,2.827,
2012-04,2.870,
2012-07,2.897,
2012-10,2.887,
2013-01,2.885,
2013-04,2.874,
2013-07,2.864,
2013-10,2.815,
2014-01,2.777,
2014-04,2.730,
2014-07,2.677,
